"","evNum","band_diff_16to23_dB","band_diff_23to46_dB","n_dets","n_dets_thinned","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256"
"1","4841",-4.87784197044772,8.56623532312443,613,613,-21.8548417622321,-18.8504245866625,-11.1956172317517,-4.3132767414809,-0.992580189766525,0,-0.32081857893105,-1.37351352960718,-2.29960460392415,-2.76631929443847,-2.11374215869224,-1.95151543570283,-2.62468878063116,-3.38358324207787,-4.04282901209597,-4.42878725364801,-5.15515505379772,-5.79126141646845,-6.35133160464769,-6.53712686909469,-7.02280775822853,-7.21270045001419,-7.47677361657249,-7.99088692140566,-8.06924891065724,-8.19513324314756,-8.18186758218946,-8.66389093123013,-9.05652435614282,-9.21086717755222,-9.39357518490707,-9.8193619726501,-10.0661730822355,-10.2113120072376,-10.5367205695623,-10.9279164236638,-11.2233800406432,-11.5711215589595,-11.5244566987094,-11.858073540738,-11.8598966176022,-11.9189328010288,-12.1908718550289,-12.3384809553066,-12.2335197173894,-12.4656784311678,-12.6248505954706,-12.7559164405667,-12.844984626433,-13.2251456578727,-13.6130492792984,-13.9372780400309,-14.036610358057,-14.3003137735628,-14.6164601138089,-14.6885860665066,-14.7384014535708,-15.0308216008357,-15.4314571705775,-15.7886967746766,-15.9812427349305,-16.2987855806231,-16.5971975080413,-16.8853694222703,-17.0134395048271,-17.341170875171,-17.5438320277218,-17.7504393854364,-18.2013287929166,-18.3766976010734,-18.378528165857,-18.4606793419278,-18.8335233425698,-19.0923216945364,-18.9260828377284,-19.0960982648129,-19.2683715931032,-19.3756210837641,-19.2170239127859,-19.3399591021488,-19.3823796122813,-19.9050202039111,-20.1704628325852,-20.3354640930204,-20.3852973431051,-20.0073409518624,-20.0026727570405,-20.2846625357981,-20.7256456847221,-20.6094492741512,-20.6127894380329,-20.9205726576725,-20.7947441691421,-20.9296191127281,-21.1021307496723,-21.1964678891796,-21.2871448347295,-21.2999416896307,-21.1519915141449,-21.097010815475,-21.0260948215697,-20.7728485274509,-20.8788740395643,-20.7228660869396,-20.2518106549244,-19.8708622682906,-19.3273355805538,-19.1180586883546,-19.1891904261216,-18.6640823182747,-18.1929153029838,-17.7547240511512,-17.3312464304927,-16.9047689727121,-16.5733399104989,-16.2589656261012,-15.925804606715,-15.307629712889,-14.7711139231822,-14.2643529156326,-14.0270475630249,-13.5821242322863,-13.3490569062475,-13.119804092408,-12.6812064975596,-12.4715230455043,-12.2109441391278,-11.9453372747961,-11.779638514527,-11.5417360766183,-11.3705866706684,-11.4585237806507,-11.2208365566712,-10.9251746196593,-10.9898124798539,-10.9465116695416,-11.016234781278,-11.155094214633,-10.9927020868433,-10.9477629989678,-10.9045859867397,-10.6339832002845,-10.4978954596864,-10.445409369722,-10.5416624877102,-10.5261565499646,-10.3243895090833,-10.1007404362115,-10.3525503552377,-10.3836122381594,-10.2200904978109,-10.3802053785327,-10.5453821839474,-10.670788426617,-10.8541216472978,-10.9704435440382,-11.261825735215,-11.4383066657097,-11.3634528428963,-11.3385653639311,-11.2533771576731,-11.0129174983619,-10.9739336981146,-11.1393276980971,-11.2437420134071,-11.3494518933663,-11.7349740825638,-11.6652344968003,-11.6150024653706,-11.6850705406791,-11.8923647982626,-12.0081061131678,-12.1295142928263,-12.1252394300373,-12.0940886950128,-12.2464209958887,-12.2396994070671,-12.3647556066664,-12.3305898508554,-12.5292614954782,-12.6167227538791,-12.8003148365483,-13.0059261419117,-13.2289233565435,-13.3974612648573,-13.4850342072474,-13.7092477355081,-13.9214492638995,-13.6752400575855,-13.6514275499915,-13.9153628298086,-14.0598018305809,-14.3504592067224,-14.5466114029898,-14.8184975690521,-14.958436057424,-15.2068784028889,-15.5000750503405,-15.9055222789575,-15.921761831707,-16.1831477108926,-16.6600391235543,-16.7184883290011,-16.7040745125853,-16.8319284136122,-17.0495646148782,-17.0787385194461,-17.2432534036951,-17.7198980057338,-17.8421195217517,-18.0942617915907,-18.0165830931875,-18.1515734707745,-18.4299466301703,-18.6063050346386,-18.7976074123726,-19.2485901484815,-19.3428850292539,-19.8789694988495,-20.1962953276313,-20.4236080585487,-20.5699626426907,-20.8783656675116,-21.2821877458078,-21.2709388659709,-21.5731182385826,-22.1765040926066,-22.4645854242885,-22.7798973233323,-23.037529863939,-23.4842090630157,-23.9483521416129,-24.0609805046045,-23.9975194950178,-24.2359708959319,-24.6448891545755,-25.013073238757,-25.2779837015891,-25.894243712534,-26.3202049412023,-26.546536073681,-27.196860520834,-27.651335854689,-27.8800288227586,-28.5325036691207,-28.7912768945499,-29.4960812445885,-30.2362607130036,-30.3586394772913,-31.0266803486164,-31.7545977090714,-31.9944761506217,-32.3465027231003,-33.0527741375345,-33.2810523739691,-33.1528178914506
"2","5007",-4.50915106639781,8.92699564444553,668,668,-21.6163702211841,-18.1201329410656,-9.33241978635447,-3.2253532522646,-0.566065675834981,0,-0.911906439858509,-2.27811564948036,-3.51616961451681,-4.04118821324551,-3.88975817697584,-3.86301941586868,-4.48604213091227,-5.52258778155356,-5.53956226042414,-6.03597142214803,-7.03542412098133,-7.94269401273214,-8.63981625008472,-9.08176983705906,-9.68508100703552,-10.4767470079342,-10.7593925635699,-11.148405348712,-11.4760871287546,-11.1624175408,-11.2458084016248,-11.7908111245425,-12.2032630777501,-12.5018762978893,-12.6790589428136,-12.3240472915503,-12.5552448573186,-12.914378517166,-13.3482039012453,-13.4900757354297,-13.7134704528056,-13.9256378055515,-14.0751509630929,-14.1497231055472,-14.3061728049325,-14.7325830351582,-14.7081047929575,-14.6667515686904,-14.8239377764059,-15.1078200718307,-15.1665330685067,-15.3492199881273,-15.51680205991,-15.7812051797404,-15.8682976222248,-16.1163965206915,-16.6338667540236,-17.1257501207237,-17.2794686015777,-17.3120960955874,-17.4243641892215,-17.7664546723813,-17.9086837564497,-18.0270804794527,-18.3233892414618,-18.4848928915876,-18.6263626765345,-19.064188196507,-19.1674766180743,-19.4453082364147,-19.7879390460055,-19.7841756498686,-20.0822917179012,-20.0798738395378,-20.1876206643473,-20.4061020199474,-20.4743878211614,-20.6663871061166,-20.6747697129694,-20.7129871522985,-20.8687800424397,-21.1664634621075,-21.3359696681809,-21.7397041212276,-21.980852841303,-22.1977042404181,-22.2847787662847,-22.4693366700711,-22.4157959196349,-22.3145822981578,-22.6063435505567,-22.6729469421499,-22.9615407349209,-22.6926827930625,-22.7296283512431,-22.7230656702528,-22.77173502144,-22.948423144606,-22.8679027709578,-22.531193561717,-22.7530407550107,-22.5301676559291,-22.1876804493796,-22.2767682735628,-22.0645119491654,-21.6932121686601,-21.7976826318439,-21.6598188734208,-21.3577740846974,-21.1473622468439,-20.8582058544896,-20.3970286861915,-19.8991467741936,-19.5715779761058,-19.3707709083938,-19.0067115117256,-18.6360283062486,-18.3235466273455,-18.0984312400613,-17.8078164737466,-17.8279058497363,-17.5045299747022,-17.0948963074191,-16.3787569043634,-15.9866414629037,-15.380135967782,-14.8920086360765,-14.6465118079891,-14.1942485860158,-13.7439584125427,-13.2637172652624,-12.6841293461449,-12.4935206382773,-12.4029398452921,-12.475051892591,-12.3966239458652,-12.3619575655671,-12.42820763624,-12.3891421008462,-12.212706401189,-12.2685583077165,-12.0320223226649,-11.821080803463,-11.7934663360794,-11.8895964361189,-11.9622761771386,-11.8858612765405,-11.9192953128509,-12.0067722538308,-12.0767922834759,-12.1860857626169,-12.3727602104693,-12.722628742392,-12.8865924260075,-12.9327824805281,-12.905506506196,-12.8526298472536,-12.9710080470843,-13.1537790382573,-13.2399742243315,-13.2839393789961,-13.2752497161763,-13.1427708618179,-12.9496969542567,-13.0027661372394,-13.0659279203748,-13.2165338462891,-13.2137973924564,-13.1230256159622,-13.1476544892062,-13.109506263675,-13.1929269221456,-13.0860991164904,-12.9323047020994,-12.8333594990233,-12.8443720441166,-12.9099393754699,-12.8872037831131,-12.9552830317548,-12.9002774364956,-12.992765446113,-13.0603980670632,-13.1007090280653,-13.1834653078742,-13.2229876838204,-13.1342343123873,-13.41586739243,-13.5878724267997,-13.5933601806875,-13.5143324998286,-13.6207878445164,-13.6438077910013,-13.7232374729357,-13.7992187960675,-13.8275241583181,-13.7103611296414,-13.7925881048228,-13.9016695696791,-13.9415998132941,-13.9872211697622,-13.9987753176395,-14.0623146059658,-14.1903721927064,-14.2197424143122,-14.2852343951364,-14.2501519522067,-14.2168423831803,-14.3815824138955,-14.3876739565259,-14.4184247016242,-14.6040471820511,-14.6876226871773,-14.9082230094928,-15.1484458304758,-15.4254825056215,-15.6204203426391,-15.8216278886236,-16.0862936943791,-16.5485554761103,-16.9310157665317,-17.1696100841637,-17.4087489672285,-17.5428082766805,-17.7629959615068,-17.9460615405023,-18.1314830170594,-18.245817467988,-18.2502772385299,-18.5354072774574,-18.6698744926581,-18.9479196732379,-19.1814459181803,-19.5106295525667,-19.8219692922147,-20.2216690571108,-20.8212777868826,-21.4829431229566,-22.0189936138824,-22.6468104628467,-23.0094175520445,-23.450844834371,-23.9504907445721,-24.3111878999995,-24.5848450535195,-24.9143201372856,-25.3372810662561,-25.9142472885343,-26.2734711568977,-26.8229636117639,-27.1577814103554,-27.9043549085811,-28.2741652955906,-28.9348380574758,-29.3365209986024,-29.8475418339292,-30.1489210216412,-30.7289475286455,-31.2267684610873,-31.6190655318132,-31.819640860944
"3","5031",-4.45175459017094,-0.7758366801786,82,82,-20.9414637521155,-16.8401533174773,-9.06053145049798,-3.95163390804899,-0.731003001527245,0,-1.20042105151924,-2.66079763282259,-4.03394306660835,-6.32530481434002,-4.79240709819637,-5.64845541637622,-6.14340134994326,-6.80171836685777,-6.77579571274272,-5.76361705501075,-6.42204728129414,-6.94518283218403,-7.34779334653183,-6.41458651696015,-6.493514796003,-7.4371186676089,-7.16782162060023,-6.18652109817326,-6.55284460439333,-6.77093544568109,-6.04649073035887,-5.69715264840817,-5.26970715585579,-5.81097817207797,-6.10631821959112,-7.48351999992162,-8.00068211380678,-8.14162012236631,-8.67454865741337,-7.26058301928982,-8.01554937405556,-7.3634374485935,-7.32633030114764,-7.30578711395045,-8.02293623029506,-8.8597597193909,-8.59941817240513,-7.92564458512326,-7.98585300916429,-8.66377673358588,-8.70963680310792,-8.11532669164472,-7.34238980504163,-7.64966692999228,-8.19769204328272,-7.89625557753208,-8.34550540157155,-7.88239360644105,-7.46359793830239,-7.07204850656198,-7.63626448980638,-8.38072928630298,-7.08793102901816,-6.78937927004435,-7.24149405202065,-7.61698336314988,-7.44422325337337,-7.87177822694939,-7.65153604828393,-7.53048355366011,-7.87545210503952,-8.74983602482085,-9.19237991433106,-9.17343778883759,-9.06007810873158,-8.85737553674872,-9.57932123526789,-9.92997126836756,-10.0198699233895,-9.93236878410489,-10.6059074914776,-11.0948667559977,-12.4802761426375,-11.4856693541153,-11.4511730119162,-12.1670860676054,-12.494352220204,-12.4193226046834,-11.0022518443416,-11.629308268635,-11.5510088489168,-11.6301255661872,-13.1493695838862,-13.6122235065831,-13.8928897596162,-13.3766233879886,-13.2658201251071,-14.1390681642922,-14.5179557141249,-15.0863014839315,-15.9152341299814,-15.8077033214363,-15.772928331829,-16.2783717792396,-16.0522366065617,-16.2524688003656,-16.9327271244273,-16.559532019465,-15.4663967463002,-14.8419221495446,-15.8152234179229,-16.2513683558666,-15.993356303079,-15.966738870311,-16.4974637766436,-16.1276404169369,-16.478633130035,-16.4065622720746,-16.3644682796666,-15.9536309013,-16.1731879240061,-15.9277319253797,-16.703359897568,-16.5671711500923,-17.1228346993218,-16.6274913713735,-15.5145932755589,-15.8809177876794,-15.8581345601209,-16.0682940085249,-15.3391182902055,-14.7470718494659,-15.3403274680377,-14.6632008944481,-14.5537479528024,-14.6019107354956,-14.6596090789737,-15.0241419673467,-14.6150178125841,-14.4871114153217,-14.8668190713137,-14.8350785055798,-14.7838737113596,-14.0981247693596,-13.8954016616172,-14.2933904604045,-12.9217673835317,-12.3517932794308,-13.0027638935129,-13.3314309107154,-13.0183534706222,-12.2882605414165,-12.3548123167355,-12.5037214461082,-12.474476709086,-12.2690854860431,-12.4926642965233,-12.9270344413087,-13.4075395819143,-13.5835187107952,-13.4988884069432,-13.0859455707572,-13.3385471134038,-12.8016684731632,-12.5815916712687,-12.8041216672121,-12.6340594957319,-12.3393859709681,-12.8433735940853,-12.7039907800503,-12.9093886825945,-12.987832020905,-12.9100947056671,-12.6635671896655,-12.7745575478672,-12.2478371770112,-12.2962647881132,-12.7439922179188,-12.8545798763189,-13.0153784834708,-12.8276177180279,-12.3861487384041,-12.2851232986455,-12.4131463570276,-12.1577255765511,-11.9558174125288,-11.9441207970802,-11.8686937972799,-11.8344784015474,-11.3805816040923,-11.4901758638248,-11.9741682026669,-11.417841359635,-11.4879707868489,-11.8026050428289,-12.0241443076015,-11.5538868849091,-11.5432939798978,-11.9916024102542,-11.6892070894088,-11.1501561174402,-11.3516627084266,-11.6159039448909,-11.8161006395348,-12.0282715285179,-12.3203204593033,-12.4327220899879,-12.2777869307595,-12.4222156824444,-12.1233219318341,-12.2576766610301,-12.526223909413,-12.6243367491854,-12.5579507955123,-12.5275313019082,-12.8861409851007,-13.0313090604408,-13.5682017373964,-14.06743652209,-14.4343700242708,-15.2285079912169,-15.4063483852589,-15.7501104161078,-16.020721030909,-15.9672839303008,-16.1006141179539,-15.8503221565157,-16.0236672321071,-16.4207680369653,-16.9295879368279,-17.2482512964509,-17.567813230183,-18.2226391797608,-18.8494501134,-18.9513855635618,-19.6193394004184,-19.7483465878389,-20.0586241746512,-20.4661434145802,-20.7661715841255,-20.5062162007024,-20.9086234549287,-21.3395217197971,-22.1925980777036,-22.6951435098018,-22.5663448509648,-22.9047615265151,-23.6599197386083,-24.3832889229443,-24.6297298282597,-24.8429681881697,-25.4004710008307,-26.2747389498457,-26.8395476714211,-27.1155320013343,-28.1517458292083,-28.8786038279901,-29.0658951503874,-29.7286363814257,-29.3229545159044
"4","5032",-4.24265837468806,9.63750255856033,290,290,-21.6391792035622,-17.8852996995543,-9.23855894732134,-3.07407551104707,0,-0.128509806125582,-1.68601861829588,-3.46370310626818,-5.60071806188345,-6.80190115754782,-5.90933864299435,-5.84199856044525,-6.71292012446585,-6.5845448459622,-6.78281733778137,-6.2982164374606,-5.95716451348696,-6.4895726052112,-6.71399609152173,-7.05505680319106,-7.33968208255266,-7.18164063851037,-7.21013888469881,-6.98132611951804,-6.69376255316958,-6.68431922099673,-6.25163870099405,-6.40195317264254,-6.70019283244732,-6.94964770835107,-6.98753429463741,-7.0694797926947,-7.81357321908054,-7.75624544430409,-7.89632917489556,-7.8212969607147,-8.165290970911,-8.2884908309038,-8.05755107602566,-7.97151656777164,-8.06578164090246,-8.08236222733721,-7.94442882936942,-7.73549716484038,-7.69812577080518,-7.97662706485865,-7.63150836393775,-7.42302365552485,-7.16177632964263,-6.51866240563513,-6.64217913350519,-7.15125628485887,-7.40850402462539,-7.46914873033443,-7.33712348544434,-7.22693391063836,-7.70416105497319,-8.31748725841918,-8.43705348664361,-8.05614783598888,-8.39106395107606,-8.6440788595156,-9.12453553183539,-8.60181783687866,-8.797393529148,-9.285446102694,-9.37517073931551,-9.73780242351982,-9.82600496758315,-9.64313134690219,-10.3278779460193,-10.6224276852961,-10.3768633790358,-10.7692569728533,-10.6738635138754,-10.7698388888887,-10.6729087747471,-10.7188785372442,-11.0905504455114,-11.5410053191771,-11.784875190887,-12.0495974755618,-12.3449639837198,-12.4761613938331,-13.0207377655047,-13.0604887089749,-12.9685815197692,-13.0453876973725,-13.3880945211571,-13.9310307286744,-14.016428765708,-13.7714351620375,-14.1066684638791,-14.8722997303046,-14.9858563122897,-14.9662925515035,-14.9296096553048,-15.2044391201636,-15.5152231596579,-15.3274389914456,-15.6076800540595,-16.0808494803793,-15.7063297471824,-15.7798814027668,-15.8979306141295,-15.433506030508,-14.9611922947,-15.2370836548125,-15.0665877420757,-14.6445973869429,-15.0157939817954,-14.8409538272621,-14.519214593184,-14.8008099613287,-14.7220111717374,-14.7109958624302,-14.1134421383685,-13.3001936911496,-12.3417432434061,-11.2200400435687,-10.5517727561488,-10.809250101554,-10.6103913270544,-10.2130901000423,-10.0572190398446,-9.41126543331941,-9.05580656389439,-8.76862041780775,-8.62341078512036,-8.34372615840481,-8.0229582404197,-7.39829290213075,-6.64995265289904,-6.34626458784149,-5.94724442350991,-5.40663124252725,-4.89118989392642,-4.79352189504615,-4.86193460799568,-4.93610612177361,-5.01920914464254,-5.05887527597714,-4.65678061838588,-3.98832272605102,-3.60576925731016,-3.59832879885278,-3.74010556627867,-3.89921661119815,-3.83709735944803,-3.75928225778492,-3.66591417753587,-3.71520915086013,-4.06969485905643,-4.54544088647146,-4.87226988042432,-4.96193310513252,-4.92390661111677,-4.21158163515047,-3.81630608750472,-3.53957354766217,-3.03320897897964,-2.46629355393683,-2.21995723168434,-2.17536163179143,-2.2786479885645,-2.24387156981751,-2.31667868016905,-2.39725062681231,-2.5338905197946,-2.47077601672593,-2.20029127144312,-2.01220687721125,-1.92954469517304,-2.15888256578554,-2.40812240971313,-2.76088566478056,-3.13104073737748,-3.57762623009797,-4.2173225633465,-4.60341061215991,-4.5107332114216,-4.56093639061717,-4.40722413770206,-4.3544643190431,-4.6641537491014,-4.93701025020515,-4.67103390119033,-4.88771447882439,-5.37338590563557,-5.21659286936032,-5.31106017165231,-5.33526875503305,-5.25848488315872,-5.34772726018364,-5.32171383672979,-5.3586582329029,-5.49306137872673,-5.639204087821,-5.77173077320768,-5.84665179148368,-5.70585118520025,-5.68282360619136,-5.72653300102706,-5.72531805923235,-5.99491968223127,-6.19737825302139,-6.43501564746411,-6.66669755141573,-6.99606504825663,-7.22976267316898,-7.80284399170694,-8.15173171736372,-8.69939088610892,-9.40191370115823,-10.1759331289468,-10.7259436063563,-11.4201484654525,-12.0751990136885,-12.0512356598247,-12.0560733821762,-12.2669806160669,-12.0355953164174,-12.4002459269475,-12.2427045586052,-11.7538096887036,-11.7671592129588,-11.6998536078635,-11.4606607684983,-11.5426501905743,-11.8727501722677,-12.6584656196389,-13.8494101116797,-15.2624647354441,-16.154919015695,-16.1913627772453,-16.191474834448,-16.2529365702082,-16.3993427083873,-16.8888684174561,-17.277974225635,-17.7431741519004,-18.1999729695545,-18.674009952765,-18.9690340923482,-19.7303497218449,-20.6630388902709,-21.3274104763342,-21.7119909787596,-22.409103708812,-23.0423054654336,-23.6453145351658,-24.0968683701838,-24.5228215644521,-25.1958362509853,-25.4444493036222,-25.7091747292015
