"","event.id","predicted","NOISE","X045","X085","original","correct"
"97","1075","X085",0.0595,0.0853,0.8552,"X085",TRUE
"98","1076","X085",0.0176,0.0586,0.9238,"X085",TRUE
"99","1113","X085",0.4602,0.0327,0.5071,"X085",TRUE
"100","1114","X085",0.0844,0.0843,0.8313,"X085",TRUE
"101","1186","NOISE",0.9799,0.0056,0.0145,"NOISE",TRUE
"102","1208","NOISE",0.998,8e-04,0.0012,"NOISE",TRUE
"103","1226","NOISE",0.9996,1e-04,3e-04,"NOISE",TRUE
"104","1229","NOISE",0.7268,0.0354,0.2378,"X085",FALSE
"105","1231","X085",0.262,0.0436,0.6944,"X085",TRUE
"106","1232","X085",0.4007,0.0343,0.565,"X085",TRUE
"107","1233","NOISE",0.6093,0.0308,0.3599,"X085",FALSE
"108","1247","X085",0.0882,0.0784,0.8334,"X085",TRUE
"109","1251","X085",0.3169,0.0333,0.6498,"X085",TRUE
"110","1260","NOISE",0.795,0.0018,0.2032,"NOISE",TRUE
"111","1274","X085",0.3203,0.0467,0.633,"X085",TRUE
"112","1281","NOISE",0.6646,0.0202,0.3152,"X085",FALSE
"113","1282","X085",0.3724,0.0507,0.5769,"X085",TRUE
"114","1345","NOISE",0.9992,1e-04,7e-04,"NOISE",TRUE
"115","1354","NOISE",0.9996,2e-04,2e-04,"NOISE",TRUE
"116","1362","NOISE",0.9985,4e-04,0.0011,"NOISE",TRUE
"117","1380","X085",0.2047,0.0166,0.7787,"X085",TRUE
"118","1386","NOISE",0.9355,0.0225,0.042,"NOISE",TRUE
"119","1387","NOISE",0.9284,0.0223,0.0493,"NOISE",TRUE
"120","1388","NOISE",0.975,0.0076,0.0174,"NOISE",TRUE
"121","1397","X085",0.2377,0.0488,0.7135,"X085",TRUE
"122","1398","X085",0.2237,0.0606,0.7157,"X085",TRUE
"123","1492","NOISE",0.9539,0.0102,0.0359,"NOISE",TRUE
"124","1494","NOISE",0.4422,0.2079,0.3499,"X045",FALSE
"125","1499","NOISE",0.9996,2e-04,2e-04,"NOISE",TRUE
"126","1504","X085",0.176,0.0012,0.8228,"X085",TRUE
"127","1505","X085",0.0886,0.0204,0.891,"X085",TRUE
"128","1507","X085",0.2428,0.0508,0.7064,"X085",TRUE
"129","1512","X085",0.2874,0.046,0.6666,"X085",TRUE
"130","1519","NOISE",0.9847,0.0066,0.0087,"NOISE",TRUE
"131","1545","X085",0.1107,0.0648,0.8245,"X085",TRUE
"132","1549","NOISE",0.994,0.0016,0.0044,"NOISE",TRUE
"133","1552","NOISE",0.9772,0.0048,0.018,"NOISE",TRUE
