"","event.id","predicted","NOISE","X045","X085","original","correct"
"393","2712","NOISE",0.9968,0.0012,0.002,"NOISE",TRUE
"394","2715","NOISE",0.6347,0.0266,0.3387,"NOISE",TRUE
"395","2732","NOISE",0.9978,2e-04,0.002,"NOISE",TRUE
"396","2733","NOISE",0.9995,1e-04,4e-04,"NOISE",TRUE
"397","2734","NOISE",0.8826,3e-04,0.1171,"NOISE",TRUE
"398","2735","NOISE",0.9933,0.0016,0.0051,"NOISE",TRUE
"399","2736","NOISE",0.9502,0.0113,0.0385,"NOISE",TRUE
"400","2737","NOISE",0.9565,0.0054,0.0381,"NOISE",TRUE
"401","2738","NOISE",0.8697,0.0565,0.0738,"NOISE",TRUE
"402","2739","NOISE",0.9999,0,1e-04,"NOISE",TRUE
"403","2740","NOISE",0.9295,0.0229,0.0476,"NOISE",TRUE
"404","2741","NOISE",0.9231,0.0254,0.0515,"NOISE",TRUE
"405","2742","NOISE",0.929,0.0229,0.0481,"NOISE",TRUE
"406","2743","NOISE",0.9394,0.022,0.0386,"NOISE",TRUE
"407","2745","NOISE",0.9613,0.0306,0.0081,"NOISE",TRUE
"408","2746","NOISE",0.962,0.0107,0.0273,"NOISE",TRUE
"409","2750","NOISE",0.9989,6e-04,5e-04,"NOISE",TRUE
"410","2751","NOISE",0.9842,0.004,0.0118,"NOISE",TRUE
"411","2753","NOISE",0.8697,0.0021,0.1282,"NOISE",TRUE
"412","2754","NOISE",0.9803,0.0038,0.0159,"NOISE",TRUE
"413","2755","NOISE",0.8492,0.0054,0.1454,"NOISE",TRUE
"414","2758","X085",0.4028,0.0675,0.5297,"NOISE",FALSE
"415","2759","NOISE",0.615,0.0204,0.3646,"NOISE",TRUE
"416","2762","NOISE",0.8894,5e-04,0.1101,"NOISE",TRUE
"417","2779","NOISE",0.9386,0.0228,0.0386,"NOISE",TRUE
"418","2792","NOISE",0.9962,0.0012,0.0026,"NOISE",TRUE
"419","2793","NOISE",0.9991,1e-04,8e-04,"NOISE",TRUE
"420","2794","NOISE",0.9958,0.001,0.0032,"NOISE",TRUE
"421","2795","NOISE",0.6423,0.074,0.2837,"NOISE",TRUE
"422","2796","NOISE",0.9819,0.0041,0.014,"NOISE",TRUE
"423","2821","NOISE",0.9251,0.0388,0.0361,"NOISE",TRUE
"424","2826","NOISE",0.9992,4e-04,4e-04,"NOISE",TRUE
"425","2834","NOISE",0.888,0.0509,0.0611,"NOISE",TRUE
"426","2835","NOISE",0.884,0.0012,0.1148,"NOISE",TRUE
"427","2836","NOISE",0.9849,3e-04,0.0148,"NOISE",TRUE
"428","2837","NOISE",0.9825,0.0033,0.0142,"NOISE",TRUE
"429","2851","NOISE",0.9992,4e-04,4e-04,"NOISE",TRUE
"430","2852","NOISE",0.9997,1e-04,2e-04,"NOISE",TRUE
"431","2853","NOISE",0.8178,0.0707,0.1115,"NOISE",TRUE
"432","2855","NOISE",0.98,0.0037,0.0163,"NOISE",TRUE
"433","2857","NOISE",0.9616,0.0012,0.0372,"NOISE",TRUE
"434","2858","NOISE",0.9966,0.002,0.0014,"NOISE",TRUE
"435","2859","NOISE",1,0,0,"NOISE",TRUE
"436","2860","NOISE",0.992,0.0025,0.0055,"NOISE",TRUE
"437","2861","NOISE",0.9756,0.0061,0.0183,"NOISE",TRUE
"438","2862","NOISE",0.9148,0.0399,0.0453,"NOISE",TRUE
"439","2863","NOISE",0.8422,0.0045,0.1533,"NOISE",TRUE
"440","2864","NOISE",0.7539,0.0931,0.153,"NOISE",TRUE
"441","2865","NOISE",0.9996,1e-04,3e-04,"NOISE",TRUE
"442","2866","NOISE",0.9581,0.0116,0.0303,"NOISE",TRUE
"443","2867","NOISE",0.9978,4e-04,0.0018,"NOISE",TRUE
"444","2869","NOISE",0.936,0.0193,0.0447,"NOISE",TRUE
"445","2890","NOISE",0.8586,0.0037,0.1377,"NOISE",TRUE
"446","2893","NOISE",0.9384,0.0216,0.04,"NOISE",TRUE
"447","2895","NOISE",0.9977,4e-04,0.0019,"NOISE",TRUE
"448","2896","NOISE",0.9997,2e-04,1e-04,"NOISE",TRUE
"449","2897","NOISE",0.9967,8e-04,0.0025,"NOISE",TRUE
"450","2898","NOISE",0.9278,0.0214,0.0508,"NOISE",TRUE
"451","2899","NOISE",0.9185,0.0195,0.062,"NOISE",TRUE
"452","2900","NOISE",0.9305,0.0217,0.0478,"NOISE",TRUE
"453","2901","NOISE",0.6712,0.0539,0.2749,"NOISE",TRUE
"454","2902","NOISE",0.9622,0.007,0.0308,"NOISE",TRUE
"455","2903","NOISE",0.9656,0.0048,0.0296,"NOISE",TRUE
"456","2904","NOISE",0.941,0.0031,0.0559,"NOISE",TRUE
"457","2905","NOISE",0.9433,0.0119,0.0448,"NOISE",TRUE
"458","2909","NOISE",0.9698,0.0056,0.0246,"NOISE",TRUE
"459","2910","X085",0.4612,0.0358,0.503,"NOISE",FALSE
"460","2911","NOISE",0.674,0.0353,0.2907,"NOISE",TRUE
"461","2912","NOISE",0.7982,0.0171,0.1847,"NOISE",TRUE
"462","2914","NOISE",1,0,0,"NOISE",TRUE
"463","2915","NOISE",0.5282,0.0191,0.4527,"NOISE",TRUE
"464","2916","NOISE",0.582,0.0211,0.3969,"NOISE",TRUE
"465","2917","NOISE",0.8844,0.0011,0.1145,"NOISE",TRUE
"466","2918","NOISE",0.9987,0,0.0013,"NOISE",TRUE
"467","2920","NOISE",0.9999,0,1e-04,"NOISE",TRUE
"468","2921","NOISE",0.7358,0.0912,0.173,"NOISE",TRUE
"469","2922","NOISE",0.8393,0.0078,0.1529,"NOISE",TRUE
"470","2923","NOISE",0.9605,0.0077,0.0318,"NOISE",TRUE
"471","2924","NOISE",0.8829,0.046,0.0711,"NOISE",TRUE
"472","2925","NOISE",0.8197,0.0577,0.1226,"NOISE",TRUE
"473","2926","NOISE",0.9589,0.0118,0.0293,"NOISE",TRUE
"474","2927","NOISE",0.7971,0.0734,0.1295,"NOISE",TRUE
"475","2928","NOISE",0.9982,8e-04,0.001,"NOISE",TRUE
"476","2929","NOISE",0.9996,4e-04,0,"NOISE",TRUE
"477","2930","NOISE",0.7044,0.0192,0.2764,"NOISE",TRUE
"478","2931","NOISE",0.7096,0.0238,0.2666,"NOISE",TRUE
"479","2933","X085",0.4031,0.0328,0.5641,"NOISE",FALSE
"480","2934","NOISE",0.9094,0.0039,0.0867,"NOISE",TRUE
"481","2935","NOISE",0.9944,0.001,0.0046,"NOISE",TRUE
"482","2936","NOISE",0.9987,4e-04,9e-04,"NOISE",TRUE
"483","2939","NOISE",0.9817,0.0037,0.0146,"NOISE",TRUE
"484","2940","NOISE",0.9947,9e-04,0.0044,"NOISE",TRUE
"485","2948","NOISE",0.9867,0.0027,0.0106,"NOISE",TRUE
"486","2949","NOISE",0.5615,0.0307,0.4078,"NOISE",TRUE
"487","2951","NOISE",0.9755,0.0051,0.0194,"NOISE",TRUE
"488","2962","NOISE",0.9994,4e-04,2e-04,"NOISE",TRUE
"489","2976","NOISE",0.9959,0,0.0041,"NOISE",TRUE
"490","2977","NOISE",0.9249,0.0033,0.0718,"NOISE",TRUE
"491","2980","NOISE",0.8262,0.0428,0.131,"NOISE",TRUE
"492","2987","NOISE",0.8703,0.0015,0.1282,"NOISE",TRUE
"493","2990","NOISE",0.9495,0.0113,0.0392,"NOISE",TRUE
"494","2991","NOISE",0.9236,0.0253,0.0511,"NOISE",TRUE
"495","2992","NOISE",0.9251,0.0235,0.0514,"NOISE",TRUE
"496","2993","NOISE",0.7942,0.0715,0.1343,"NOISE",TRUE
"497","2996","NOISE",0.8946,0.0242,0.0812,"NOISE",TRUE
"498","3006","NOISE",0.9339,0.0222,0.0439,"NOISE",TRUE
"499","3007","NOISE",0.9355,0.0228,0.0417,"NOISE",TRUE
"500","3008","NOISE",0.9329,0.0227,0.0444,"NOISE",TRUE
"501","3009","NOISE",0.9315,0.0226,0.0459,"NOISE",TRUE
"502","3010","NOISE",0.9333,0.0225,0.0442,"NOISE",TRUE
"503","3011","NOISE",0.9287,0.0228,0.0485,"NOISE",TRUE
"504","3012","NOISE",0.9276,0.0224,0.05,"NOISE",TRUE
"505","3013","NOISE",0.9208,0.0227,0.0565,"NOISE",TRUE
"506","3014","NOISE",0.9234,0.0232,0.0534,"NOISE",TRUE
"507","3015","NOISE",0.923,0.0234,0.0536,"NOISE",TRUE
"508","3016","NOISE",0.9227,0.0227,0.0546,"NOISE",TRUE
"509","3017","NOISE",0.924,0.0235,0.0525,"NOISE",TRUE
"510","3018","NOISE",0.928,0.0229,0.0491,"NOISE",TRUE
"511","3019","NOISE",0.9222,0.0227,0.0551,"NOISE",TRUE
"512","3020","NOISE",0.9244,0.0235,0.0521,"NOISE",TRUE
"513","3021","NOISE",0.9239,0.0235,0.0526,"NOISE",TRUE
"514","3022","NOISE",0.9234,0.0242,0.0524,"NOISE",TRUE
"515","3023","NOISE",0.9236,0.0253,0.0511,"NOISE",TRUE
"516","3024","NOISE",0.9214,0.0248,0.0538,"NOISE",TRUE
"517","3025","NOISE",0.9242,0.0236,0.0522,"NOISE",TRUE
"518","3026","NOISE",0.9235,0.0235,0.053,"NOISE",TRUE
"519","3027","NOISE",0.9233,0.023,0.0537,"NOISE",TRUE
"520","3028","NOISE",0.9226,0.0235,0.0539,"NOISE",TRUE
"521","3029","NOISE",0.9214,0.0231,0.0555,"NOISE",TRUE
"522","3030","NOISE",0.9282,0.0229,0.0489,"NOISE",TRUE
"523","3031","NOISE",0.9281,0.0229,0.049,"NOISE",TRUE
"524","3032","NOISE",0.9262,0.0225,0.0513,"NOISE",TRUE
"525","3033","NOISE",0.9232,0.0236,0.0532,"NOISE",TRUE
"526","3034","NOISE",0.9232,0.0236,0.0532,"NOISE",TRUE
"527","3035","NOISE",0.9225,0.0253,0.0522,"NOISE",TRUE
"528","3036","NOISE",0.9237,0.0236,0.0527,"NOISE",TRUE
"529","3037","NOISE",0.9235,0.0235,0.053,"NOISE",TRUE
"530","3038","NOISE",0.9217,0.023,0.0553,"NOISE",TRUE
"531","3039","NOISE",0.9207,0.0231,0.0562,"NOISE",TRUE
"532","3040","NOISE",0.9221,0.0229,0.055,"NOISE",TRUE
"533","3041","NOISE",0.9224,0.0235,0.0541,"NOISE",TRUE
"534","3042","NOISE",0.9235,0.0235,0.053,"NOISE",TRUE
"535","3043","NOISE",0.9228,0.0235,0.0537,"NOISE",TRUE
"536","3044","NOISE",0.9234,0.0235,0.0531,"NOISE",TRUE
"537","3045","NOISE",0.9232,0.0235,0.0533,"NOISE",TRUE
"538","3046","NOISE",0.9232,0.0235,0.0533,"NOISE",TRUE
"539","3047","NOISE",0.9222,0.0235,0.0543,"NOISE",TRUE
"540","3048","NOISE",0.9207,0.0227,0.0566,"NOISE",TRUE
"541","3049","NOISE",0.9231,0.0235,0.0534,"NOISE",TRUE
"542","3050","NOISE",0.9235,0.0235,0.053,"NOISE",TRUE
"543","3051","NOISE",0.9235,0.0236,0.0529,"NOISE",TRUE
"544","3052","NOISE",0.9214,0.0248,0.0538,"NOISE",TRUE
"545","3053","NOISE",0.9221,0.0253,0.0526,"NOISE",TRUE
"546","3054","NOISE",0.9218,0.0253,0.0529,"NOISE",TRUE
"547","3055","NOISE",0.9219,0.0253,0.0528,"NOISE",TRUE
"548","3056","NOISE",0.9216,0.0253,0.0531,"NOISE",TRUE
"549","3057","NOISE",0.9231,0.0253,0.0516,"NOISE",TRUE
"550","3058","NOISE",0.9221,0.0253,0.0526,"NOISE",TRUE
"551","3059","NOISE",0.9236,0.0253,0.0511,"NOISE",TRUE
"552","3060","NOISE",0.9226,0.0253,0.0521,"NOISE",TRUE
"553","3061","NOISE",0.923,0.0253,0.0517,"NOISE",TRUE
"554","3062","NOISE",0.9228,0.0253,0.0519,"NOISE",TRUE
"555","3063","NOISE",0.9219,0.0253,0.0528,"NOISE",TRUE
"556","3064","NOISE",0.9219,0.0253,0.0528,"NOISE",TRUE
"557","3065","NOISE",0.9227,0.0253,0.052,"NOISE",TRUE
"558","3066","NOISE",0.922,0.0253,0.0527,"NOISE",TRUE
"559","3067","NOISE",0.9242,0.0236,0.0522,"NOISE",TRUE
"560","3068","NOISE",0.9209,0.0253,0.0538,"NOISE",TRUE
"561","3069","NOISE",0.9225,0.0253,0.0522,"NOISE",TRUE
"562","3070","NOISE",0.9209,0.0253,0.0538,"NOISE",TRUE
"563","3071","NOISE",0.9219,0.0253,0.0528,"NOISE",TRUE
"564","3072","NOISE",0.9226,0.0253,0.0521,"NOISE",TRUE
"565","3073","NOISE",0.9218,0.0253,0.0529,"NOISE",TRUE
"566","3074","NOISE",0.9228,0.0252,0.052,"NOISE",TRUE
"567","3075","NOISE",0.9212,0.0253,0.0535,"NOISE",TRUE
"568","3076","NOISE",0.9209,0.0253,0.0538,"NOISE",TRUE
"569","3077","NOISE",0.9225,0.0253,0.0522,"NOISE",TRUE
"570","3078","NOISE",0.9215,0.0253,0.0532,"NOISE",TRUE
"571","3079","NOISE",0.9205,0.0254,0.0541,"NOISE",TRUE
"572","3080","NOISE",0.9209,0.0253,0.0538,"NOISE",TRUE
"573","3081","NOISE",0.9214,0.0253,0.0533,"NOISE",TRUE
"574","3082","NOISE",0.9214,0.0253,0.0533,"NOISE",TRUE
"575","3083","NOISE",0.9212,0.0253,0.0535,"NOISE",TRUE
"576","3084","NOISE",0.9219,0.0253,0.0528,"NOISE",TRUE
"577","3085","NOISE",0.9212,0.0253,0.0535,"NOISE",TRUE
"578","3086","NOISE",0.9208,0.0251,0.0541,"NOISE",TRUE
"579","3087","NOISE",0.9214,0.0248,0.0538,"NOISE",TRUE
"580","3088","NOISE",0.9219,0.0254,0.0527,"NOISE",TRUE
"581","3089","NOISE",0.9208,0.0253,0.0539,"NOISE",TRUE
"582","3090","NOISE",0.9219,0.0253,0.0528,"NOISE",TRUE
"583","3091","NOISE",0.9221,0.0253,0.0526,"NOISE",TRUE
"584","3092","NOISE",0.9227,0.0242,0.0531,"NOISE",TRUE
"585","3093","NOISE",0.923,0.0236,0.0534,"NOISE",TRUE
"586","3094","NOISE",0.9223,0.0253,0.0524,"NOISE",TRUE
"587","3095","NOISE",0.9227,0.0254,0.0519,"NOISE",TRUE
"588","3096","NOISE",0.9207,0.0254,0.0539,"NOISE",TRUE
"589","3097","NOISE",0.9204,0.0254,0.0542,"NOISE",TRUE
"590","3098","NOISE",0.9211,0.0253,0.0536,"NOISE",TRUE
"591","3099","NOISE",0.9214,0.0253,0.0533,"NOISE",TRUE
"592","3100","NOISE",0.9227,0.0253,0.052,"NOISE",TRUE
"593","3101","NOISE",0.9209,0.0253,0.0538,"NOISE",TRUE
"594","3102","NOISE",0.9226,0.0253,0.0521,"NOISE",TRUE
"595","3103","NOISE",0.9203,0.0254,0.0543,"NOISE",TRUE
"596","3104","NOISE",0.9226,0.0253,0.0521,"NOISE",TRUE
"597","3105","NOISE",0.9224,0.0253,0.0523,"NOISE",TRUE
"598","3106","NOISE",0.9237,0.0236,0.0527,"NOISE",TRUE
"599","3107","NOISE",0.9263,0.023,0.0507,"NOISE",TRUE
"600","3108","NOISE",0.9209,0.0231,0.056,"NOISE",TRUE
"601","3109","NOISE",0.9229,0.0232,0.0539,"NOISE",TRUE
"602","3110","NOISE",0.9259,0.023,0.0511,"NOISE",TRUE
"603","3111","NOISE",0.9272,0.0229,0.0499,"NOISE",TRUE
"604","3112","NOISE",0.9224,0.0232,0.0544,"NOISE",TRUE
"605","3113","NOISE",0.9205,0.0232,0.0563,"NOISE",TRUE
"606","3114","NOISE",0.9223,0.0236,0.0541,"NOISE",TRUE
"607","3115","NOISE",0.9205,0.0254,0.0541,"NOISE",TRUE
"608","3116","NOISE",0.922,0.0254,0.0526,"NOISE",TRUE
"609","3117","NOISE",0.9225,0.0256,0.0519,"NOISE",TRUE
"610","3118","NOISE",0.9217,0.0253,0.053,"NOISE",TRUE
"611","3119","NOISE",0.9226,0.0253,0.0521,"NOISE",TRUE
"612","3120","NOISE",0.9216,0.0253,0.0531,"NOISE",TRUE
"613","3121","NOISE",0.9215,0.0253,0.0532,"NOISE",TRUE
"614","3122","NOISE",0.9225,0.0237,0.0538,"NOISE",TRUE
"615","3123","NOISE",0.9216,0.0253,0.0531,"NOISE",TRUE
"616","3124","NOISE",0.922,0.0253,0.0527,"NOISE",TRUE
"617","3125","NOISE",0.9211,0.0253,0.0536,"NOISE",TRUE
"618","3126","NOISE",0.9228,0.0252,0.052,"NOISE",TRUE
"619","3127","NOISE",0.9216,0.0253,0.0531,"NOISE",TRUE
"620","3128","NOISE",0.9219,0.0253,0.0528,"NOISE",TRUE
"621","3129","NOISE",0.9218,0.0253,0.0529,"NOISE",TRUE
"622","3130","NOISE",0.923,0.0235,0.0535,"NOISE",TRUE
"623","3131","NOISE",0.9226,0.0235,0.0539,"NOISE",TRUE
"624","3132","NOISE",0.9234,0.0235,0.0531,"NOISE",TRUE
"625","3133","NOISE",0.9237,0.0236,0.0527,"NOISE",TRUE
"626","3134","NOISE",0.923,0.0235,0.0535,"NOISE",TRUE
"627","3135","NOISE",0.9221,0.0235,0.0544,"NOISE",TRUE
"628","3136","NOISE",0.9228,0.0232,0.054,"NOISE",TRUE
"629","3137","NOISE",0.9208,0.0232,0.056,"NOISE",TRUE
"630","3138","NOISE",0.9217,0.0235,0.0548,"NOISE",TRUE
"631","3139","NOISE",0.9227,0.0231,0.0542,"NOISE",TRUE
"632","3140","NOISE",0.9208,0.0231,0.0561,"NOISE",TRUE
"633","3141","NOISE",0.9217,0.0236,0.0547,"NOISE",TRUE
"634","3142","NOISE",0.9225,0.0252,0.0523,"NOISE",TRUE
"635","3143","NOISE",0.9214,0.0243,0.0543,"NOISE",TRUE
"636","3144","NOISE",0.923,0.0235,0.0535,"NOISE",TRUE
"637","3145","NOISE",0.9235,0.0235,0.053,"NOISE",TRUE
"638","3146","NOISE",0.923,0.0236,0.0534,"NOISE",TRUE
"639","3147","NOISE",0.923,0.0235,0.0535,"NOISE",TRUE
"640","3148","NOISE",0.9221,0.0234,0.0545,"NOISE",TRUE
"641","3149","NOISE",0.923,0.0235,0.0535,"NOISE",TRUE
"642","3150","NOISE",0.9227,0.0236,0.0537,"NOISE",TRUE
"643","3151","NOISE",0.9235,0.0235,0.053,"NOISE",TRUE
"644","3152","NOISE",0.9205,0.0236,0.0559,"NOISE",TRUE
"645","3153","NOISE",0.9227,0.0235,0.0538,"NOISE",TRUE
"646","3154","NOISE",0.9224,0.0253,0.0523,"NOISE",TRUE
"647","3155","NOISE",0.9215,0.0253,0.0532,"NOISE",TRUE
"648","3156","NOISE",0.9227,0.0253,0.052,"NOISE",TRUE
"649","3157","NOISE",0.9216,0.0252,0.0532,"NOISE",TRUE
"650","3158","NOISE",0.922,0.0253,0.0527,"NOISE",TRUE
"651","3159","NOISE",0.9221,0.0252,0.0527,"NOISE",TRUE
"652","3160","NOISE",0.9235,0.0235,0.053,"NOISE",TRUE
"653","3161","NOISE",0.9202,0.0232,0.0566,"NOISE",TRUE
"654","3162","NOISE",0.9226,0.0232,0.0542,"NOISE",TRUE
"655","3163","NOISE",0.9206,0.0231,0.0563,"NOISE",TRUE
"656","3164","NOISE",0.922,0.0232,0.0548,"NOISE",TRUE
"657","3165","NOISE",0.9236,0.0235,0.0529,"NOISE",TRUE
"658","3166","NOISE",0.9217,0.0253,0.053,"NOISE",TRUE
"659","3167","NOISE",0.9227,0.0253,0.052,"NOISE",TRUE
"660","3168","NOISE",0.9214,0.0253,0.0533,"NOISE",TRUE
"661","3169","NOISE",0.9227,0.0254,0.0519,"NOISE",TRUE
"662","3170","NOISE",0.9207,0.0254,0.0539,"NOISE",TRUE
"663","3171","NOISE",0.9236,0.0235,0.0529,"NOISE",TRUE
"664","3172","NOISE",0.9216,0.0234,0.055,"NOISE",TRUE
"665","3173","NOISE",0.9225,0.0235,0.054,"NOISE",TRUE
"666","3174","NOISE",0.922,0.0242,0.0538,"NOISE",TRUE
"667","3175","NOISE",0.9207,0.0254,0.0539,"NOISE",TRUE
"668","3176","NOISE",0.9225,0.0253,0.0522,"NOISE",TRUE
"669","3177","NOISE",0.9225,0.0236,0.0539,"NOISE",TRUE
"670","3178","NOISE",0.9211,0.0235,0.0554,"NOISE",TRUE
"671","3179","NOISE",0.9209,0.0231,0.056,"NOISE",TRUE
"672","3180","NOISE",0.9229,0.0232,0.0539,"NOISE",TRUE
"673","3181","NOISE",0.9212,0.0231,0.0557,"NOISE",TRUE
"674","3182","NOISE",0.9274,0.0229,0.0497,"NOISE",TRUE
"675","3183","NOISE",0.9275,0.0229,0.0496,"NOISE",TRUE
"676","3184","NOISE",0.9228,0.0232,0.054,"NOISE",TRUE
"677","3185","NOISE",0.9204,0.0232,0.0564,"NOISE",TRUE
"678","3186","NOISE",0.92,0.0232,0.0568,"NOISE",TRUE
"679","3187","NOISE",0.9217,0.0232,0.0551,"NOISE",TRUE
"680","3188","NOISE",0.921,0.0231,0.0559,"NOISE",TRUE
"681","3189","NOISE",0.9279,0.0228,0.0493,"NOISE",TRUE
"682","3190","NOISE",0.9227,0.0235,0.0538,"NOISE",TRUE
"683","3191","NOISE",0.9237,0.0234,0.0529,"NOISE",TRUE
"684","3192","NOISE",0.9233,0.0235,0.0532,"NOISE",TRUE
"685","3193","NOISE",0.9226,0.0242,0.0532,"NOISE",TRUE
"686","3194","NOISE",0.9236,0.0236,0.0528,"NOISE",TRUE
"687","3195","NOISE",0.9223,0.0232,0.0545,"NOISE",TRUE
"688","3196","NOISE",0.9224,0.0232,0.0544,"NOISE",TRUE
"689","3197","NOISE",0.9232,0.0235,0.0533,"NOISE",TRUE
"690","3198","NOISE",0.9224,0.0253,0.0523,"NOISE",TRUE
"691","3199","NOISE",0.9221,0.0253,0.0526,"NOISE",TRUE
"692","3200","NOISE",0.9225,0.0252,0.0523,"NOISE",TRUE
"693","3201","NOISE",0.9233,0.0236,0.0531,"NOISE",TRUE
"694","3202","NOISE",0.9239,0.0235,0.0526,"NOISE",TRUE
"695","3203","NOISE",0.9233,0.0235,0.0532,"NOISE",TRUE
"696","3204","NOISE",0.9232,0.0232,0.0536,"NOISE",TRUE
"697","3205","NOISE",0.9275,0.0229,0.0496,"NOISE",TRUE
"698","3206","NOISE",0.9324,0.0225,0.0451,"NOISE",TRUE
"699","3207","NOISE",0.9314,0.0226,0.046,"NOISE",TRUE
"700","3208","NOISE",0.9208,0.0232,0.056,"NOISE",TRUE
"701","3209","NOISE",0.9225,0.0235,0.054,"NOISE",TRUE
"702","3210","NOISE",0.9231,0.0242,0.0527,"NOISE",TRUE
"703","3211","NOISE",0.922,0.0253,0.0527,"NOISE",TRUE
"704","3212","NOISE",0.924,0.0236,0.0524,"NOISE",TRUE
"705","3213","NOISE",0.924,0.0236,0.0524,"NOISE",TRUE
"706","3214","NOISE",0.9243,0.0235,0.0522,"NOISE",TRUE
"707","3215","NOISE",0.9214,0.0232,0.0554,"NOISE",TRUE
"708","3216","NOISE",0.9222,0.0235,0.0543,"NOISE",TRUE
"709","3217","NOISE",0.9236,0.0235,0.0529,"NOISE",TRUE
"710","3218","NOISE",0.922,0.0235,0.0545,"NOISE",TRUE
"711","3219","NOISE",0.9225,0.0235,0.054,"NOISE",TRUE
"712","3220","NOISE",0.9213,0.0232,0.0555,"NOISE",TRUE
"713","3221","NOISE",0.9224,0.0235,0.0541,"NOISE",TRUE
"714","3222","NOISE",0.922,0.0242,0.0538,"NOISE",TRUE
"715","3223","NOISE",0.9223,0.0253,0.0524,"NOISE",TRUE
"716","3224","NOISE",0.9215,0.0243,0.0542,"NOISE",TRUE
"717","3225","NOISE",0.9212,0.0253,0.0535,"NOISE",TRUE
"718","3226","NOISE",0.9223,0.0236,0.0541,"NOISE",TRUE
"719","3227","NOISE",0.923,0.0236,0.0534,"NOISE",TRUE
"720","3228","NOISE",0.9892,0.0013,0.0095,"NOISE",TRUE
"721","3229","NOISE",0.9217,0.0235,0.0548,"NOISE",TRUE
"722","3230","NOISE",0.9895,0.0013,0.0092,"NOISE",TRUE
"723","3231","NOISE",0.8811,0.0328,0.0861,"NOISE",TRUE
"724","3232","NOISE",0.9223,0.0235,0.0542,"NOISE",TRUE
"725","3233","NOISE",0.9891,0.0014,0.0095,"NOISE",TRUE
"726","3234","NOISE",0.9223,0.0236,0.0541,"NOISE",TRUE
"727","3235","NOISE",0.9897,0.0014,0.0089,"NOISE",TRUE
"728","3236","NOISE",0.9225,0.0236,0.0539,"NOISE",TRUE
"729","3237","NOISE",0.9218,0.0236,0.0546,"NOISE",TRUE
"730","3238","NOISE",0.9221,0.0235,0.0544,"NOISE",TRUE
"731","3239","NOISE",0.9218,0.0234,0.0548,"NOISE",TRUE
"732","3240","NOISE",0.9234,0.0235,0.0531,"NOISE",TRUE
"733","3241","NOISE",0.9237,0.0235,0.0528,"NOISE",TRUE
"734","3242","NOISE",0.9236,0.0235,0.0529,"NOISE",TRUE
"735","3243","NOISE",0.922,0.0232,0.0548,"NOISE",TRUE
"736","3244","NOISE",0.926,0.0229,0.0511,"NOISE",TRUE
"737","3245","NOISE",0.9219,0.0231,0.055,"NOISE",TRUE
"738","3246","NOISE",0.9264,0.0229,0.0507,"NOISE",TRUE
"739","3247","NOISE",0.92,0.0231,0.0569,"NOISE",TRUE
"740","3248","NOISE",0.9211,0.0233,0.0556,"NOISE",TRUE
"741","3249","NOISE",0.9232,0.0235,0.0533,"NOISE",TRUE
"742","3250","NOISE",0.9218,0.0253,0.0529,"NOISE",TRUE
"743","3251","NOISE",0.924,0.0235,0.0525,"NOISE",TRUE
"744","3252","NOISE",0.9233,0.0235,0.0532,"NOISE",TRUE
"745","3253","NOISE",0.919,0.0233,0.0577,"NOISE",TRUE
"746","3254","NOISE",0.9265,0.0224,0.0511,"NOISE",TRUE
"747","3255","NOISE",0.9279,0.0228,0.0493,"NOISE",TRUE
"748","3256","NOISE",0.9336,0.0224,0.044,"NOISE",TRUE
"749","3257","NOISE",0.9323,0.0225,0.0452,"NOISE",TRUE
"750","3258","NOISE",0.9298,0.0227,0.0475,"NOISE",TRUE
"751","3259","NOISE",0.9249,0.0231,0.052,"NOISE",TRUE
"752","3260","NOISE",0.9195,0.0232,0.0573,"NOISE",TRUE
"753","3261","NOISE",0.9255,0.023,0.0515,"NOISE",TRUE
"754","3262","NOISE",0.9334,0.0224,0.0442,"NOISE",TRUE
"755","3263","NOISE",0.934,0.0224,0.0436,"NOISE",TRUE
"756","3264","NOISE",0.9288,0.0227,0.0485,"NOISE",TRUE
"757","3265","NOISE",0.9196,0.0232,0.0572,"NOISE",TRUE
"758","3266","NOISE",0.9198,0.0232,0.057,"NOISE",TRUE
"759","3267","NOISE",0.9218,0.0234,0.0548,"NOISE",TRUE
"760","3268","NOISE",0.9236,0.0235,0.0529,"NOISE",TRUE
"761","3269","NOISE",0.9226,0.0232,0.0542,"NOISE",TRUE
"762","3270","NOISE",0.988,0.0012,0.0108,"NOISE",TRUE
"763","3271","NOISE",0.9211,0.0232,0.0557,"NOISE",TRUE
"764","3272","NOISE",0.9219,0.0232,0.0549,"NOISE",TRUE
"765","3273","NOISE",0.9231,0.0235,0.0534,"NOISE",TRUE
"766","3274","NOISE",0.9227,0.0236,0.0537,"NOISE",TRUE
"767","3275","NOISE",0.9234,0.0235,0.0531,"NOISE",TRUE
"768","3276","NOISE",0.9229,0.0242,0.0529,"NOISE",TRUE
