"","event.id","predicted","NOISE","X045","X085","original","correct"
"93","4263","NOISE",0.9245,0.0151,0.0604,"NOISE",TRUE
"94","4281","X085",0.3446,0.0314,0.624,"X085",TRUE
"95","4282","X085",0.1382,0.0746,0.7872,"X085",TRUE
"96","4309","X085",0.164,0.0558,0.7802,"X085",TRUE
"97","4310","NOISE",0.9391,0.0223,0.0386,"NOISE",TRUE
"98","4311","NOISE",0.9393,0.022,0.0387,"NOISE",TRUE
"100","4344","X085",0.0536,0.0851,0.8613,"X085",TRUE
"101","4345","X085",0.4214,0.0394,0.5392,"X085",TRUE
"102","4357","NOISE",0.9998,1e-04,1e-04,"NOISE",TRUE
"103","4358","NOISE",1,0,0,"NOISE",TRUE
"104","4393","X085",0.3149,0.0433,0.6418,"X085",TRUE
"105","4420","X085",0.3757,0.019,0.6053,"NOISE",FALSE
"106","4426","NOISE",0.8025,0.0118,0.1857,"NOISE",TRUE
"107","4427","X085",0.3175,0.0459,0.6366,"X085",TRUE
"108","4440","X085",0.3931,0.0267,0.5802,"X085",TRUE
"109","4441","NOISE",0.6596,0.0075,0.3329,"X085",FALSE
"110","4495","X085",0.3223,0.0416,0.6361,"X085",TRUE
"111","4498","NOISE",0.9611,0.0316,0.0073,"NOISE",TRUE
"112","4515","X085",0.1188,0.05,0.8312,"X085",TRUE
"113","4517","X085",0.187,0.0061,0.8069,"X085",TRUE
"114","4518","NOISE",0.8632,0.0019,0.1349,"X085",FALSE
"115","4530","NOISE",0.9946,0.0011,0.0043,"NOISE",TRUE
"116","4531","NOISE",0.9965,0.001,0.0025,"NOISE",TRUE
"117","4532","NOISE",1,0,0,"NOISE",TRUE
"118","4548","X085",0.2103,0.0213,0.7684,"X085",TRUE
"119","4555","X085",0.0688,0.0858,0.8454,"X085",TRUE
"120","4566","X085",0.0324,0.069,0.8986,"X085",TRUE
"121","4577","X085",0.1682,0.0589,0.7729,"X085",TRUE
"122","4594","NOISE",0.6675,0.0075,0.325,"NOISE",TRUE
"123","4610","NOISE",0.8951,0.0307,0.0742,"NOISE",TRUE
"124","4611","NOISE",0.9999,0,1e-04,"NOISE",TRUE
"125","4617","NOISE",0.7449,0.0277,0.2274,"NOISE",TRUE
"126","4618","X085",0.0568,0.0883,0.8549,"X085",TRUE
"127","4627","NOISE",0.9996,2e-04,2e-04,"NOISE",TRUE
"128","4647","X085",0.3142,0.0447,0.6411,"X085",TRUE
"129","4702","NOISE",0.7846,0.0182,0.1972,"NOISE",TRUE
"130","4703","NOISE",0.9828,0.0029,0.0143,"NOISE",TRUE
"131","4704","NOISE",0.8091,0.0605,0.1304,"NOISE",TRUE
"132","4705","NOISE",0.62,0.0353,0.3447,"NOISE",TRUE
"133","4709","NOISE",0.5114,0.0243,0.4643,"NOISE",TRUE
"134","4720","NOISE",0.9587,0.0114,0.0299,"NOISE",TRUE
"135","4721","NOISE",0.9203,0.0021,0.0776,"NOISE",TRUE
"136","4725","NOISE",0.981,0.004,0.015,"NOISE",TRUE
"137","4727","X085",0.2914,0.0442,0.6644,"X085",TRUE
"138","4729","NOISE",0.9802,0.0043,0.0155,"NOISE",TRUE
"139","4730","NOISE",0.9665,0.009,0.0245,"NOISE",TRUE
"140","4736","NOISE",0.882,1e-04,0.1179,"NOISE",TRUE
"141","4737","NOISE",0.6631,0.0076,0.3293,"X085",FALSE
"142","4742","NOISE",0.9856,0.0034,0.011,"NOISE",TRUE
"143","4757","X085",0.0427,0.006,0.9513,"X085",TRUE
"144","4766","NOISE",0.8176,0.0748,0.1076,"NOISE",TRUE
"145","4767","NOISE",0.7881,0.0119,0.2,"X085",FALSE
"146","4769","X085",0.3049,0.0455,0.6496,"X085",TRUE
"147","4770","X085",0.1364,0.0606,0.803,"X085",TRUE
"148","4776","NOISE",0.9889,0.0042,0.0069,"NOISE",TRUE
"149","4777","NOISE",0.9597,0.0037,0.0366,"NOISE",TRUE
"150","4815","NOISE",0.9958,0.0014,0.0028,"NOISE",TRUE
"151","4818","NOISE",0.9889,0.0023,0.0088,"NOISE",TRUE
"152","4835","NOISE",0.8441,0.0071,0.1488,"NOISE",TRUE
"153","4841","X045",0.129,0.5003,0.3707,"X045",TRUE
"154","4854","X085",0.4609,0.0757,0.4634,"NOISE",FALSE
"155","4870","NOISE",0.963,0.0304,0.0066,"NOISE",TRUE
"156","4871","NOISE",0.9091,0.051,0.0399,"NOISE",TRUE
"157","4886","X085",0.2023,0.0216,0.7761,"X085",TRUE
"158","4909","NOISE",0.9468,0.0124,0.0408,"NOISE",TRUE
"159","4974","X085",0.0238,0.0069,0.9693,"X085",TRUE
"160","5007","X045",0.0488,0.8026,0.1486,"X045",TRUE
"161","5027","NOISE",0.9789,0,0.0211,"NOISE",TRUE
"162","5028","NOISE",0.9988,2e-04,0.001,"NOISE",TRUE
"163","5029","NOISE",0.9974,0.0011,0.0015,"NOISE",TRUE
"164","5031","X085",0.1865,0.2718,0.5417,"X045",FALSE
"165","5032","NOISE",0.4342,0.3926,0.1732,"X045",FALSE
"166","5036","NOISE",0.8602,0.0276,0.1122,"NOISE",TRUE
"167","5049","NOISE",0.6033,0.0616,0.3351,"NOISE",TRUE
"168","5050","NOISE",0.9362,0.0165,0.0473,"NOISE",TRUE
"169","5057","X085",0.0404,0.0756,0.884,"X085",TRUE
"170","5063","NOISE",0.9025,0.0059,0.0916,"NOISE",TRUE
"171","5064","NOISE",0.908,0.0165,0.0755,"NOISE",TRUE
"172","5129","NOISE",0.9996,1e-04,3e-04,"NOISE",TRUE
"173","5130","NOISE",0.9976,4e-04,0.002,"NOISE",TRUE
"174","5131","NOISE",0.9968,4e-04,0.0028,"NOISE",TRUE
"175","5132","NOISE",0.7228,0.0837,0.1935,"NOISE",TRUE
"176","5133","NOISE",0.9976,5e-04,0.0019,"NOISE",TRUE
"177","5134","NOISE",0.5081,0.1327,0.3592,"NOISE",TRUE
"178","5138","X085",0.0085,0.0014,0.9901,"NOISE",FALSE
"179","5139","X085",0.0011,0.0042,0.9947,"X085",TRUE
"180","5180","NOISE",0.9901,0.0032,0.0067,"NOISE",TRUE
"181","5192","NOISE",0.5,0.2629,0.2371,"NOISE",TRUE
"182","5240","NOISE",0.9767,0.0071,0.0162,"NOISE",TRUE
"183","5331","NOISE",0.8297,0.0077,0.1626,"NOISE",TRUE
"184","5334","NOISE",0.9668,0.0072,0.026,"NOISE",TRUE
"185","5335","NOISE",0.9963,7e-04,0.003,"NOISE",TRUE
"186","5337","NOISE",0.9256,0.0018,0.0726,"NOISE",TRUE
"187","5338","NOISE",0.924,0.0235,0.0525,"NOISE",TRUE
"188","5340","NOISE",0.9978,8e-04,0.0014,"NOISE",TRUE
"189","5344","NOISE",0.8345,0.0072,0.1583,"NOISE",TRUE
"190","5345","NOISE",0.9789,0.0047,0.0164,"NOISE",TRUE
"191","5346","NOISE",0.8401,0.068,0.0919,"NOISE",TRUE
"192","5369","NOISE",0.9849,0.0041,0.011,"NOISE",TRUE
"193","5370","NOISE",0.9992,2e-04,6e-04,"NOISE",TRUE
"194","5371","NOISE",0.9983,4e-04,0.0013,"NOISE",TRUE
"195","5372","NOISE",0.98,0.0057,0.0143,"NOISE",TRUE
