UID,species,RL,dB_20kHz,dB_30kHz,dB_40kHz,dB_50kHz,dB_60kHz,dB_70kHz
13000530,X045,116.0960804,131.6344018,122.1185551,121.7712856,113.1385664,109.5874168,95.21126253
13000531,X045,109.9978715,132.2959566,125.1633327,120.2510545,106.04008,114.7093607,108.9663427
13000536,X045,115.7932733,131.3196379,122.866782,114.3792114,125.4654226,112.3565101,111.4301557
13000539,X045,114.613023,131.6723097,127.7012704,125.7583337,120.7032389,106.7942765,111.3166273
13000546,X045,124.4427461,132.9770243,126.8015818,128.9206148,119.8175515,118.8556174,117.8068029
13000547,X045,113.9869438,135.3640669,123.055334,118.2237789,112.4776722,122.6109427,109.0790098
13000551,X045,113.6545233,122.6428847,120.9987843,117.916185,101.59494,114.9247932,110.1585131
13000559,X045,113.5079629,135.7117346,119.8563419,120.0764313,116.0401529,110.4404005,109.0962671
13000571,X045,113.4315084,129.6507449,128.9624597,125.1925736,122.3521929,102.6426944,99.01834601
13000576,X045,120.3490778,138.0832515,128.6118127,124.5048646,118.5188303,117.1149633,119.6724251
13000587,X045,118.7780226,138.355629,131.5047127,123.3033823,124.657542,111.0208822,107.5849878
13000592,X045,123.5732531,127.9407947,115.1470725,120.0865754,114.912236,108.529137,109.0517206
13000601,X045,112.4242967,126.6330783,122.8982985,116.517819,116.1296301,112.7385309,97.27849168
13000609,X045,123.9140404,134.7709509,125.341028,126.9567334,115.8562446,114.38288,111.5367732
13000610,X045,116.7100719,135.3846495,126.2896906,118.8519418,116.0671827,116.3529507,99.16484307
13000613,X045,116.8538598,121.7278441,115.1854935,118.1869328,122.4020519,118.6099464,106.3509559
13000628,X045,117.5562165,125.4533665,121.4811265,118.8686792,113.0747328,120.6734091,110.1492465
13000629,X045,116.2137011,129.0004626,125.6097393,114.746187,118.0983128,117.8664752,104.5051501
13000631,X045,118.8137145,136.3672909,128.1590944,120.0750889,111.0471855,113.335344,105.4359866
13000658,X045,111.4566328,129.9819455,114.4359773,127.6400013,111.645752,118.923222,103.5743403
13000661,X045,115.7623689,123.1219429,123.6276953,119.1695586,121.1884436,107.9532602,113.0440878
13000665,X045,119.1876382,127.1427674,130.09612,124.0447834,117.2774153,116.4967174,115.3210477
13000695,X045,121.279755,138.9163177,120.5862059,124.0712688,127.3831206,118.7502557,113.8711651
13000704,X045,116.0554455,126.3989056,126.6686169,118.3577492,116.2096511,119.4875244,109.5557597
13000717,X045,119.8885465,126.3252387,127.3874114,120.0822981,122.0365083,106.6184289,119.2611762
13000722,X045,122.8198242,128.3003954,126.2014483,129.2834266,123.1636924,123.1315978,109.5844007
13000723,X045,118.1410991,127.6529809,120.1042008,122.9334808,118.5047428,117.6491035,105.516723
13000727,X045,117.6432676,124.3917437,122.9038395,128.2906365,118.5032057,123.4763461,105.7839956
13000731,X045,119.906369,127.2047177,124.7239932,123.1757626,111.7003029,118.6816285,121.5770022
13000735,X045,113.3179978,129.6536553,131.2575376,117.842866,116.347884,118.2323682,106.8083825
13000736,X045,120.657664,127.9227695,126.6641675,124.6763197,121.5069373,120.4504797,112.9237085
13000738,X045,118.6659714,134.1787848,122.4564829,129.4826494,122.9077565,109.4196989,113.6887246
13000747,X045,117.0087441,123.5753809,129.1071755,126.2309987,116.0505708,109.5937378,112.9560507
13000750,X045,115.367712,134.1136969,128.466412,121.6344395,122.8575115,107.8870951,111.3397411
13000753,X045,123.1769399,137.2526264,129.5406522,109.89543,124.0989977,122.642442,118.9963704
13000757,X045,119.2771814,104.0908946,125.1613133,121.432744,113.5040502,118.9839708,107.5248266
13000772,X045,116.9121292,123.2067803,119.9436476,111.7504281,112.6821585,117.3787428,108.4249632
13000773,X045,113.6063749,122.6965305,116.2780857,117.9486302,103.3488416,115.9308714,100.250476
13000778,X045,119.7889114,136.6685222,131.9012582,128.6019463,122.9322025,119.7296212,108.1062047
13000793,X045,130.2939141,139.5919299,139.8296625,133.2051005,132.6800578,129.8796979,117.2663015
13000813,X045,120.2855552,126.3897902,121.0414174,126.2265839,116.8628905,113.4294953,117.4635949
13000832,X045,114.2874107,135.3442507,128.7730752,126.1789565,108.262758,119.1705564,112.4631247
13000834,X045,119.8557955,136.0922474,132.0887279,130.680565,126.7817881,121.7868263,113.2486998
13000837,X045,119.6798539,134.4460111,131.9149242,127.9420098,126.1867532,113.9421647,114.588778
13000838,X045,121.4420021,134.0430364,115.0940339,129.3163229,130.652789,120.2342416,103.3547718
13000848,X045,121.422265,130.8203662,122.3432309,109.138604,108.2351242,120.1737468,118.881832
13000858,X045,118.0488981,130.6391441,120.9777493,126.0368323,115.9875765,116.8557394,107.2624812
13000873,X045,120.2617067,131.4783653,125.1054171,128.1522774,114.6588192,115.5363765,121.9445816
13000889,X045,119.1843539,141.0922173,123.3808435,116.6833834,125.3687155,120.9968949,109.7895757
13000906,X045,120.5179819,134.3562156,129.8168747,128.2796854,123.9405804,126.8015615,114.0623269
13000913,X045,128.3628558,139.7788077,110.5661206,130.8043086,123.2893276,122.6343159,122.2755973
13000917,X045,119.180104,128.5231372,127.9398346,114.9610958,123.5157033,124.5671664,115.1587575
13000922,X045,113.1372973,141.7014384,132.5201347,120.7991914,125.7856717,115.8243841,116.1111548
13000926,X045,107.8018789,123.1191858,118.9296073,119.9406099,118.743874,111.6178441,103.3765332
13000942,X045,111.8228843,134.3554472,131.5963656,117.7308332,116.6233221,121.2184309,109.7920839
13000948,X045,113.6333774,133.9513477,106.3674064,118.4531324,109.262066,114.4204549,108.1617905
13000958,X045,125.886863,134.3424885,130.185887,124.1560328,114.2103786,119.730013,101.4220078
13000972,X045,116.6607888,127.332744,124.1123766,116.5743393,115.312861,120.1497217,106.5109289
13000977,X045,121.6276549,131.9254069,127.0068257,105.1850793,120.8983227,113.8756498,107.2286028
13000978,X045,114.7186137,131.428546,125.9560731,126.9921776,116.682015,110.864977,112.0771215
13000986,X045,119.1263231,125.3076964,126.9211153,128.9036975,119.2835828,117.4292999,98.97581513
13000990,X045,119.4932008,128.407756,130.356843,122.1741223,112.4634949,109.0684912,102.4332088
13000996,X045,109.2436341,123.5525147,124.8890077,116.5446837,118.0922288,118.7527344,108.3998891
13001003,X045,122.5258757,128.823638,127.5755957,123.9064307,126.1716291,124.7826302,118.6744168
13001030,X045,112.1661563,130.3650843,114.1338931,118.7339176,122.8551513,111.0201001,109.8506119
13001039,X045,119.9045625,137.6347482,125.5964153,128.4586114,119.9458583,124.1847586,109.4926759
13001048,X045,119.7120393,138.0501574,130.5025953,118.4993422,119.8656448,117.7420186,91.16563792
13001050,X045,112.8390723,135.2628957,121.7494074,116.2758571,112.9818515,116.2494536,111.9949488
13001051,X045,114.6770212,126.0659239,126.0645262,122.6062674,118.312937,98.6045229,103.5221223
13001059,X045,116.025164,124.9250852,121.1377268,120.844889,117.6651653,119.4822723,104.5322566
13001063,X045,116.6893023,126.5324786,98.18439598,99.2038608,110.3373495,120.9677212,105.9828842
13001066,X045,119.9358444,130.2310459,121.9120091,99.45147279,128.2689934,123.0589957,116.786082
13001071,X045,120.4209216,132.5748349,126.7868253,112.3276312,116.1068575,109.2432156,106.7374593
13001073,X045,114.826441,135.0432517,126.0192432,116.8661637,111.2663198,113.0150008,99.82701597
13001074,X045,120.827603,112.760392,127.3071282,124.0402929,127.0235321,116.1147567,101.9333918
13001085,X045,110.4154356,133.0942257,126.1200107,99.65534149,119.1854884,117.9849291,105.4662835
13001087,X045,115.3016895,127.7586007,120.3952415,113.1645753,119.2054146,121.361348,106.8070924
13001088,X045,113.7461506,127.5716763,123.2846445,124.3600349,115.4642544,118.5682081,114.9384705
13001096,X045,120.898961,132.4616289,116.5702787,122.9175658,107.5189031,117.9848705,104.8086301
13001107,X045,120.0532475,132.0758727,123.8958955,128.0327974,107.5815706,124.6172458,119.5592809
13001109,X045,131.3659832,139.5720999,132.5362509,127.436845,116.2099442,121.6269426,124.5834824
13001112,X045,120.3832291,135.0017281,127.8094759,122.2673836,125.5968491,120.5262916,113.8050834
13001147,X045,118.4215982,138.1739159,121.5864793,115.7495658,125.4070079,118.9121732,103.047049
13001153,X045,120.1884125,127.2735876,120.1990908,119.1958483,126.9001233,112.7485283,118.8794811
13001160,X045,109.7194913,129.3799586,131.8029728,115.4243264,123.3842506,112.965504,104.4747803
13001189,X045,124.0923139,128.9301169,123.9497283,125.3100746,120.6064213,121.3528594,114.60422
13001194,X045,113.4885433,123.0845645,130.8992529,124.6529053,121.4304925,114.2846725,111.8439649
13001196,X045,117.0250051,134.0234507,123.2003794,124.0098094,121.3307113,119.3121017,108.4765455
13001198,X045,123.6720517,132.9926608,109.3499087,125.8343263,119.9471615,125.1999957,119.6571119
13001213,X045,119.647756,123.642751,131.01309,119.1757442,123.9526632,125.3643246,107.3853941
13001218,X045,123.1998178,136.6795647,131.6256936,122.9719083,121.9760546,112.8314023,113.4778489
13001228,X045,122.7020155,131.9483443,123.4715023,122.6263397,126.7036356,118.2533821,117.0265583
13001229,X045,119.2413415,137.4211691,128.5406108,121.2896174,124.075125,112.3996177,119.6552153
13001236,X045,122.9962623,129.0656549,121.4241342,122.3802773,99.54123958,114.8242509,109.4444236
13001237,X045,126.7129879,140.2728027,130.5945445,116.2485705,123.8266758,127.8525246,118.3219551
13001251,X045,123.216694,143.6308306,124.5906823,133.1874632,127.2784524,106.2434054,110.6065952
13001258,X045,114.4402742,134.7054071,117.9798681,123.0375713,116.943682,114.6507437,114.3667934
13001265,X045,130.5873591,133.8417476,137.3877879,125.767598,124.8087246,122.3156835,126.5604675
13001266,X045,126.6346471,136.8877756,125.8075178,124.2724438,126.8751785,119.0094265,118.9688663
13001278,X045,121.9071135,127.4552811,128.3733643,122.8968547,125.2033803,125.1916809,118.264297
13001288,X045,119.0772678,130.9771269,124.0827667,127.4680289,124.8224347,118.0113536,111.625218
13001292,X045,118.795344,128.8935443,129.9854287,125.6512056,116.0294374,93.04410558,101.2152489
13001294,X045,127.1857241,135.9085839,132.7760558,133.256664,116.7067673,112.8030274,105.9897687
13001301,X045,121.6994164,141.4551926,124.4479862,130.6306163,119.83593,109.7525599,116.5467538
13001305,X045,115.0331386,132.0798315,123.1858418,117.5852047,111.992329,101.4745967,97.55453375
13001323,X045,115.8364911,121.9346033,122.1739982,107.6164933,126.2424855,124.1236497,113.342545
13001331,X045,116.2028801,132.4843902,126.7099241,126.6462986,118.8161922,103.9350508,108.5460715
13001338,X045,134.6712062,150.3622288,141.6212472,131.8337508,137.6790908,130.739429,101.8439309
13001345,X045,119.4753068,134.6656349,117.1460358,126.7286476,119.9064521,110.5977463,108.7015642
13001359,X045,122.9329608,134.8101014,127.157331,125.5946422,124.8545851,112.7708079,117.7576298
13001364,X045,121.3425512,131.0516505,126.4521644,125.1753183,125.295408,110.9271163,117.9857127
13001368,X045,115.9978959,128.9568671,127.4625219,122.1852835,119.4638501,108.7136192,110.9110668
13001380,X045,122.7266852,126.0416412,125.3285572,114.5876489,115.8514131,111.0939715,104.7783749
13001385,X045,118.8411396,130.298259,128.039261,125.1013329,121.4407329,115.9885323,112.0137142
13001390,X045,113.7588597,114.2928084,123.5076787,126.7443428,125.3058696,104.9695228,116.2651264
13001396,X045,114.3572015,136.1521187,125.3736777,119.8689813,112.4600592,111.1689905,115.5208851
13001399,X045,124.5935388,129.5188743,124.1043258,124.7803098,125.1811683,126.8745858,108.8874279
13001403,X045,118.4173112,129.373794,124.5435325,127.5922164,119.7677068,108.7287914,105.9761604
13001404,X045,123.2724167,123.9655669,128.7945848,123.6260793,122.1076235,126.4330787,104.049482
13001407,X045,119.2749704,124.4649481,120.2879589,125.2372376,123.879867,122.3501891,111.9059118
13001409,X045,119.6039043,136.5007217,129.5699847,101.0653909,116.5997489,112.1828421,114.8168209
13001415,X045,119.6320463,131.2103274,130.1454573,126.1898118,121.4086227,110.8834961,103.6682812
13001422,X045,115.4462031,133.9574737,118.6876501,126.0202153,118.5402383,95.51648761,109.7236656
13001439,X045,122.1363522,136.7692201,136.0356597,122.8003528,121.3572321,117.859439,115.4097037
13001452,X045,110.3288933,131.4646487,116.6109519,109.6586922,123.4882179,86.99263931,113.5532287
13001455,X045,120.4468978,135.0950471,125.6177139,117.892904,123.2492378,116.5475858,110.1537605
13001461,X045,122.1730539,136.0158776,126.618415,124.694694,123.3229875,113.4146762,118.8231139
13001463,X045,115.443841,127.1262946,131.5161651,120.9030298,125.6366158,114.9158911,116.314191
13001471,X045,128.9435066,131.1709535,123.0975359,125.5948017,120.1512897,109.7042087,112.8325673
13001493,X045,109.4437871,125.4459544,118.6524157,122.156905,116.120928,103.1960004,113.8470592
13001505,X045,120.2613685,125.1136983,110.0851414,128.3418534,114.7515152,117.1668803,118.8130503
13001517,X045,117.0259776,125.6585614,126.3102476,125.9019649,121.570274,125.1631918,113.3396026
13001523,X045,116.2356214,121.6896647,126.0508945,123.2871145,123.5239618,117.0994984,110.3880482
13001538,X045,122.8995717,140.249236,129.2880876,130.2980641,125.8440796,116.7119135,116.7161602
13001544,X045,117.6705873,134.9632059,130.802953,120.540329,122.4237358,122.4060881,102.2832243
13001550,X045,116.2080593,137.8824294,126.5523592,118.9686446,112.0260881,116.8914187,98.65987021
13001553,X045,115.6634681,132.0791723,123.568035,117.6569334,126.2789557,115.9037643,111.4899616
13001555,X045,112.3793021,135.4508621,128.2083724,126.9370174,112.955103,118.363473,114.0145313
13001556,X045,122.0228976,131.6343478,132.3468822,131.350753,124.1918452,114.7567482,108.6706092
13001565,X045,112.5636336,127.843824,126.1402841,121.2184664,122.1872989,120.5985468,106.4926876
13001567,X045,120.3612384,130.4388473,126.3277706,126.5562296,117.743127,120.7354909,116.8335028
13001577,X045,115.879595,132.7936779,124.1554273,111.525422,119.9906962,111.09484,117.7446346
13001578,X045,125.4139621,137.1732922,119.8693847,129.8039885,123.7766635,122.5440599,118.8508747
13001583,X045,119.24015,129.6291931,110.4059052,124.9420664,122.7180009,127.2452049,101.3628822
13001590,X045,115.7618501,134.006487,125.7117662,122.7811281,123.4771568,114.7745648,107.2328653
13001592,X045,121.9208635,138.607515,117.039014,121.13705,124.4288536,118.4350406,111.6735261
13001602,X045,127.459589,134.2150015,125.6126462,121.9499278,127.3168061,115.6636268,117.2716397
13001607,X045,118.6769301,131.8442622,126.3582308,127.6340635,119.7433311,124.4450047,108.4289132
13001608,X045,123.2339958,135.8939965,114.7257922,124.0067942,118.2590384,131.4285662,108.9784868
13001611,X045,113.3793296,132.0201046,129.6131238,128.2499466,122.6357775,122.2497744,109.3250263
13001612,X045,114.8274733,128.4296606,122.4951065,127.9178452,113.951679,118.5013802,111.960472
13001615,X045,131.9191269,144.5574992,145.4381554,144.3345576,133.4774112,131.4204782,117.7861129
13001621,X045,115.5753712,133.5927135,134.9264189,118.3456081,118.4002185,124.2215131,113.1073675
13001627,X045,131.3802864,132.5838956,131.0258587,129.572365,130.1338733,122.3245226,123.5885531
13001640,X045,123.2881565,131.5390226,131.1498853,126.763897,128.5461582,119.7863605,120.1914552
13001642,X045,120.2918155,137.3854613,125.942822,118.88844,125.2203642,120.6443131,109.1500815
13001643,X045,114.2687089,135.0954611,119.0054111,117.2118848,115.6679973,117.5590507,106.3427949
13001660,X045,122.1126702,129.833391,128.2198431,113.2410538,128.69216,110.7373099,120.5886385
13001671,X045,112.9221694,133.3439018,130.0925778,125.3741539,119.5343704,117.8549113,101.4152786
13001677,X045,123.1002506,135.5572623,123.1344733,120.3347963,107.0194376,119.5855292,109.2366926
13001680,X045,116.4333724,123.8239486,124.145164,121.9909406,113.0984826,115.3238753,112.1551833
13001682,X045,115.7426078,121.1280601,127.8137724,113.6417068,124.6754185,117.1487736,116.0107972
13001686,X045,112.4759446,134.5911705,129.9934806,127.4578347,125.0883226,124.0615468,111.7517299
13001688,X045,128.3119349,138.6085201,120.1904269,128.1260991,120.9249354,120.3749265,116.9886638
13001690,X045,116.7826903,139.2546922,129.0592354,122.5346831,122.4853109,123.4279164,114.6558565
13001691,X045,123.7202269,129.8111332,127.2194756,130.1634058,121.7107762,122.3490253,114.7435743
13001699,X045,116.360901,129.1673203,123.285371,125.2113766,118.6231303,114.6319686,107.2108572
13001710,X045,110.4661121,130.5810652,108.7091852,111.819746,112.4840093,117.0209623,107.5119857
13001713,X045,108.0215071,131.8585608,119.6736454,107.8550988,117.66139,118.5895807,110.8115656
13001728,X045,110.9710123,133.6539609,125.5509732,123.1719778,120.3839829,121.311461,98.6591496
13001731,X045,115.0392481,135.163512,124.8374761,122.8237728,119.4325316,118.5312753,112.1041748
13001732,X045,128.7637888,142.2510618,137.1102902,125.5650338,132.2087282,115.0246779,114.7938768
13001736,X045,123.3238545,134.2349486,129.9133281,120.0955772,135.5632282,125.0291315,109.4566617
13001741,X045,116.1392116,130.7900792,124.645846,129.9546428,117.2195202,120.8409116,105.9192944
13001747,X045,112.7379726,125.9703772,129.3496987,120.425075,124.2699497,113.5464807,99.71607718
13001758,X045,112.9239668,124.2947694,122.9298983,128.2180954,120.2994892,126.7917711,113.5356185
13001759,X045,120.7967099,138.217697,113.9785253,126.5629697,108.4031983,117.4533625,109.9549284
13001761,X045,123.3753216,138.2236642,132.806777,113.489462,117.9546853,116.6664645,111.3585462
13001764,X045,112.2047665,125.4701382,125.9975233,124.584856,121.1265537,106.3357606,112.6820301
13001774,X045,117.9691765,137.4090241,126.1446425,126.4751391,121.4894706,118.3150143,109.730458
13001775,X045,113.7504512,133.1467031,127.1358682,129.304867,121.984413,115.2867162,105.5794646
13001787,X045,123.8657217,117.36997,119.6515469,111.9811502,126.3093209,120.9748559,109.6763375
13001793,X045,124.807043,135.6261482,128.5338525,120.8931096,124.743885,112.8668378,115.664022
13001808,X045,127.823063,137.3510907,124.7630242,117.5688972,121.2271798,114.6152128,112.5086297
13001813,X045,118.916041,131.2614503,128.2416342,114.8182326,124.9116807,121.1925676,111.2891427
13001819,X045,121.4251023,119.1116784,122.9117272,125.3027765,106.2865011,101.669311,96.90983147
13001825,X045,122.6843206,118.1066595,129.0983963,118.8966271,119.1140894,114.6343212,121.8733168
13001830,X045,118.052184,131.764471,128.5300048,127.0559594,124.0950572,110.9814942,113.2092738
13001832,X045,120.4799827,130.8192992,124.0307234,130.2041734,122.1591341,120.4472072,105.5550288
13001838,X045,124.29137,134.5971575,126.2110224,125.368722,117.8931329,121.0939031,110.9973308
13001848,X045,114.1858821,128.7437438,123.7746541,109.1618398,125.5575388,123.0713776,109.8124798
13001849,X045,119.0395547,136.9790234,126.7825771,124.6516153,116.631202,120.0289238,111.3658252
13001853,X045,108.4347767,132.4662917,122.0683767,123.5139751,114.5531367,107.6112799,108.1985636
13001870,X045,113.4656473,126.3179031,129.5628379,122.4504925,121.0308103,110.9297595,110.0244622
13001876,X045,116.0967563,131.3242064,109.1572509,120.1501885,116.3896627,121.089743,112.5803895
13001878,X045,112.1371655,127.4754771,124.0882012,123.833482,123.5326379,119.4399808,117.0700553
13001880,X045,112.9874002,121.6104967,125.5725858,116.5456025,116.5533517,112.7999923,98.90066867
13001883,X045,124.4337482,132.1315931,127.2758924,126.6032322,127.1559503,122.2745743,110.1910122
13001884,X045,116.9743159,141.0374382,125.5963595,123.7107341,125.0892633,108.9281119,99.97129495
13001890,X045,119.3920673,132.3391581,119.1594202,116.103944,122.1822431,110.8446227,113.5382308
13001910,X045,117.2761832,111.4929468,121.2913576,124.9096241,119.1551112,116.2889672,110.0357425
13001916,X045,117.3112288,124.4922741,124.6569462,125.4601275,122.7920584,124.8531569,114.4197256
13001934,X045,129.1328087,142.4123491,125.5465257,127.2679943,126.6102831,123.9277099,122.918877
13001952,X045,121.2275419,132.7992785,119.546348,111.8300652,118.0362581,111.4572397,105.2257695
13001953,X045,120.8279686,138.7355605,103.4899922,129.1233428,122.884366,126.1037738,99.24848431
13001960,X045,120.2872972,128.1924011,130.3115512,127.3399435,121.2082779,123.7540749,101.6308462
13001961,X045,121.7690646,124.8905983,135.5582925,119.8531964,124.0104233,112.0372726,110.5520737
