"","evNum","band_diff_17to23_dB","band_diff_23to42_dB","n_dets"
"1","658",16.5505760725916,0.875506057506072,1053
"2","659",20.1057291202652,0.550371914323591,391
"3","662",16.5782671232131,-1.01638844999485,153
"4","668",9.42903718617512,-3.35157577176645,252
"5","677",13.1555003536172,-3.31311260587532,523
"6","686",11.8448356417762,-1.57860635600392,255
"7","692",9.72040766739323,-2.72989679258197,801
"8","698",13.6820696685895,1.4627019240547,672
"9","705",12.4336388443386,0.325985515472837,289
"10","708",10.4248604078608,-3.50225104489209,152
"11","711",15.5794507199107,-2.93647308954115,286
"12","722",17.8952056682369,1.70689359856814,282
"13","734",18.4958987790494,0.994941435020394,188
"14","754",17.6708495480121,-1.21520756273219,159
"15","756",6.75356531393402,-8.43620498141729,43
"16","768",11.4733065062868,0.291652095539916,399
"17","775",4.19242101314953,-3.44468144156318,106
"18","782",15.2452814374934,2.60310881801513,224
"19","785",9.42799127130542,-2.9274401681613,258
"20","800",14.2595098060327,-1.37040454899298,889
"21","817",12.1276982657933,-1.91917918625819,142
"22","820",13.2929358894336,-0.673437656215157,232
"23","824",15.8453863986948,0.772805124227006,155
"24","825",15.6478047720911,1.12872158400069,519
"25","833",16.6332898045027,2.97064795579217,127
"26","836",17.7945615924228,2.5030615600979,320
"27","842",14.1883866567989,3.99393077719199,103
"28","862",10.6940329773255,-4.1168742080213,545
"29","864",10.8994382431986,0.0799878723617553,125
"30","870",7.45944234394375,-0.64404483239295,308
"31","886",6.58750885571934,0.380592443805341,400
"32","889",5.3650427875852,-2.25788277102527,767
"33","907",6.31385674976931,-2.44180905157737,842
"34","908",3.34826408952156,-4.44616702682535,533
"35","918",4.4996098380567,-3.8052259004744,319
"36","923",5.71465071284496,-1.99891716361603,257
"37","1047",18.717599027269,-1.16878790595922,194
