"","evNum","band_diff_17to23_dB","band_diff_23to42_dB","n_dets","n_dets_thinned","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256"
"1","253",-0.363545869306137,-2.33219364999425,51,51,-25.4362312759753,-20.1835106143512,-10.9596579339025,-4.59457913657106,-1.57503651995342,0,-0.963038155645108,-3.02028822422671,-4.35533163305362,-5.54546859121522,-3.24479188156904,-2.23253734006282,-3.9734861971388,-5.46309325985869,-6.42274532121346,-6.65819737399773,-8.03169072396163,-8.04461446603749,-8.37303355229504,-7.92178191399307,-7.368679542442,-8.11911495380902,-8.1169457428783,-9.29851077770654,-10.0180594756541,-10.2576827130366,-8.79500001472762,-8.00042235596886,-7.40866804736089,-8.06818962306704,-9.15027643821261,-9.00742476491703,-9.58373714209746,-9.061376696821,-8.65338193368256,-8.93278822801998,-8.88170203217789,-9.35662160818486,-10.0949094234662,-9.4978429771091,-8.89575900478478,-9.1472708800747,-9.68549804593528,-9.96898843711083,-9.71670073072873,-10.8695871058789,-9.67381413280549,-9.57791194722278,-10.5332117121095,-10.3144681222617,-10.8188210333625,-11.0983844480905,-11.4073048305915,-10.7756460166577,-11.0784079008292,-12.0742451380908,-12.3834452117462,-11.9432480087652,-13.1789909420041,-12.4502751380302,-11.9676027838202,-12.4538131396463,-12.8395766164601,-12.1306759968409,-11.5613143407788,-12.6834514567779,-12.6028850842518,-11.7135468540522,-12.7063849504854,-12.7898193464855,-12.973409061725,-13.04304088532,-13.1763234727662,-12.5751044298275,-12.5530028211683,-12.8717842539803,-12.0390600789926,-11.1894756840844,-12.4228978614359,-12.821356595517,-12.5572509593442,-12.937522896433,-12.2850158192308,-11.9801079105526,-12.2125842584844,-12.9900149455097,-13.5478740673393,-12.7123855582316,-12.6574518535156,-12.2061303303564,-11.9006696592944,-12.3948655588389,-12.2414628783193,-11.6440090397292,-11.667298297341,-12.306464667428,-11.7528588624673,-13.0560280472093,-12.0979913861158,-11.7254186284695,-12.6569127176508,-13.5884210409705,-13.5182906173766,-13.2030710964501,-12.8826077755032,-12.9181405782187,-12.2811332352643,-11.554267663911,-11.4699194543355,-12.1137586271928,-12.2589514758524,-12.0614222562602,-13.1193444252428,-13.2286959751937,-12.6446579358143,-12.312718605687,-11.8680690616503,-12.3496989461,-13.3112273686043,-13.856693338485,-14.9198529220203,-16.1199554814495,-14.8453321041251,-14.3876892547153,-14.3927960553103,-14.9170629724336,-14.5692882269126,-14.7993223805089,-14.3486060714249,-14.5849065815259,-14.6015074506283,-15.1549898979476,-15.0672654809461,-15.0901449286632,-16.1251616445604,-15.2132601358314,-15.2053706114708,-15.8313243299812,-16.6446931703764,-15.2930125113551,-14.757490511598,-14.3049857452947,-13.9309721077815,-14.1715762123002,-13.4231975118468,-13.1394681341831,-13.7354446942482,-14.2472955123441,-14.7799332310121,-15.0355164555216,-14.6176235302664,-15.5685339073335,-16.3754028790754,-16.8454700991576,-16.294064302131,-16.4709289071237,-15.9305458999923,-15.5136959494346,-15.7269461494304,-16.0605066208347,-16.9267022609964,-16.2263799852273,-16.0648286498764,-17.1928434202457,-17.2879179452172,-18.4680742609625,-18.4717858267063,-18.8607394382286,-18.7671569175888,-18.9934991847569,-18.4645572129974,-18.0027522409314,-18.346549881309,-18.0651500250063,-18.2150355286252,-17.5690391669798,-17.4077405289426,-17.3565688288873,-17.4363915240798,-17.2278641171082,-18.0998149160728,-18.3426600378236,-17.8689497970242,-18.3451240475141,-17.9521870004928,-18.5211196261962,-18.2793147623218,-17.9962928558523,-18.3615630073259,-18.1136996232329,-17.9587607085909,-17.5574174968577,-17.6845290732455,-17.6235120723103,-17.5455795618918,-18.5823728735877,-18.7421157872832,-18.785663438322,-19.1158936215773,-18.7169173072474,-18.7397610508664,-19.033808994735,-18.9438373967261,-19.5439425911645,-19.4351073747392,-18.2960790133924,-19.6161314576801,-19.8229758888567,-19.3106683071336,-19.8405592080545,-19.9322979711537,-20.9643721100676,-20.3032062665657,-20.4966588510439,-20.3419541804138,-21.2821797014721,-22.0397158850089,-22.0020413773612,-21.9414940928353,-21.5798679251942,-22.9730271518753,-23.5873109055234,-23.5612778245402,-23.8822764110401,-25.9705989314577,-25.4989747633596,-26.0402215422592,-26.6038970509185,-27.396392934366,-27.6947930313601,-27.3041651789274,-27.1511791454005,-29.0325180861018,-28.1183710174954,-29.2728326473558,-29.4884965092518,-30.0254629511922,-30.5600996141031,-32.0198492492793,-31.4498111688611,-31.6393837033355,-30.8645346533673,-31.1967792558436,-33.8088586463376,-33.3459143317426,-33.8187772511836,-34.3607238024244,-34.5377211599589,-34.6242200522629,-34.5626309669512,-35.5328094397238,-35.8496268675496,-35.8871288281158,-35.4378957646458,-36.5632426193324,-37.5633291050742
"2","261",-3.69089127884698,8.59310618917399,649,649,-21.8019642422015,-18.7752278956555,-11.1044126642383,-4.34540247811823,-1.06315039453898,0,-0.257609688751614,-1.23407587551495,-2.16473493298527,-2.72890680480081,-2.10624508416856,-1.91694970614728,-2.61714858584063,-3.26811592626404,-3.87923322640007,-4.28822792348215,-5.07148635702556,-5.70041438616852,-6.3123322241302,-6.50349426151603,-6.98407976418229,-7.16908920035531,-7.41351041526823,-7.95137726893987,-8.09127176724488,-8.1863663802642,-8.12153847327608,-8.55963120057467,-9.03514616503416,-9.10661965072048,-9.34406138079233,-9.7923839984801,-10.0406040267072,-10.1474932064092,-10.4650540242392,-10.9244088951318,-11.1456775573949,-11.5337094946413,-11.4696515558443,-11.7582458316541,-11.82990002206,-11.8568081416598,-12.0478153020304,-12.2311249058395,-12.183974317365,-12.3889228832519,-12.623708240661,-12.7457390399721,-12.8484159272609,-13.1647355157972,-13.5753604531022,-13.7973230906253,-13.9041478232783,-14.2338176423668,-14.4871622652526,-14.5535405639338,-14.6510145642319,-14.8604812009651,-15.2057479375028,-15.6828697550608,-15.8850592046483,-16.1412528644625,-16.4920571625598,-16.6795960045685,-16.7486047793536,-17.0813495815454,-17.2670291487946,-17.609622529742,-17.9753231618923,-18.1387333044115,-18.0397266189227,-18.081979709464,-18.5734960623099,-18.8155756020111,-18.6815815686383,-18.8167121744844,-18.9030784822595,-18.9111843411164,-18.7912414190489,-18.9789640674166,-19.0532489743418,-19.5023830915334,-19.8248722953341,-20.0870485345928,-20.1469639634169,-19.7506043208413,-19.6962851421129,-19.8888064913823,-20.1922411905523,-20.0930246166052,-20.0348013560616,-20.411919257669,-20.2716219986783,-20.3986855410907,-20.4756469309239,-20.5852416386858,-20.6155311170864,-20.6064870576921,-20.6673246543098,-20.6728043454906,-20.4469376042817,-20.240524454522,-20.2799057227919,-20.2083794998366,-19.7430694139376,-19.3543036239251,-18.7864608689301,-18.6592633445911,-18.7404949322956,-18.2805492163102,-17.8334178709597,-17.5262800353679,-17.1471951749076,-16.7317372897853,-16.3740719048583,-16.1027476144873,-15.8192762151825,-15.241598599098,-14.7369447264653,-14.3202860332293,-14.1250412307244,-13.6534490207871,-13.4256186681098,-13.1912235256445,-12.7926052467974,-12.5778091905162,-12.3271676074829,-12.0656592604906,-11.924941784486,-11.6655925011103,-11.5081137246192,-11.6131027634962,-11.4093929504931,-11.1381922994738,-11.2009954859983,-11.1433095330227,-11.2143891286483,-11.3624893554419,-11.2394938215254,-11.1912603327404,-11.1401224948466,-10.8692705226376,-10.7295396164498,-10.6753225049276,-10.7727158106208,-10.7619870867822,-10.5602521314535,-10.3564970231367,-10.6192473439665,-10.6639987935559,-10.5119519997016,-10.6891365089347,-10.8343429081711,-10.9667360664094,-11.1570482497367,-11.2647794956501,-11.5438153836333,-11.7457662104924,-11.667636166833,-11.6305641383724,-11.549681375857,-11.3038776563363,-11.2607157918112,-11.4314882148571,-11.5453258265009,-11.628740529488,-12.0075224685652,-11.995071243928,-11.931592547825,-11.9979018963089,-12.2101331426589,-12.3180332703161,-12.4386781791904,-12.4344792636784,-12.404219089905,-12.5463295939053,-12.5233579733819,-12.6517038767208,-12.6049185773435,-12.8185303039723,-12.8985431276857,-13.0978649703926,-13.2947119946813,-13.5338217750241,-13.7019230861543,-13.7940077520451,-13.9995065483257,-14.2031270612215,-13.9679704591834,-13.9383537427551,-14.1792180396941,-14.3027352944256,-14.6003868351277,-14.7835124633997,-15.0542117094879,-15.1937118813838,-15.4119636098447,-15.7050953454214,-16.1223461575406,-16.1446555490302,-16.4070529112839,-16.8575231929384,-16.9176668904476,-16.9070503037678,-17.0524006186052,-17.2443905771137,-17.3084018333998,-17.4305910028063,-17.8822644586159,-18.030517957413,-18.2813285414034,-18.1719933574587,-18.3300582057181,-18.611084582036,-18.8203689048463,-19.0071335192553,-19.4470973237149,-19.5575910210841,-20.0249245893846,-20.3744864243932,-20.6194356219319,-20.8061107008116,-21.0961942531061,-21.5055052106472,-21.5139007581306,-21.7646649001679,-22.3966843460398,-22.7137513100319,-23.0208554248722,-23.2309251678026,-23.6612730810642,-24.1487366603591,-24.276685830103,-24.2052318576033,-24.4366741642501,-24.8730189660989,-25.2483706972668,-25.4941294724686,-26.0780185990871,-26.5036794604239,-26.7500480043543,-27.4095081066921,-27.857984425024,-28.1191489970241,-28.7306204398117,-29.0113323483912,-29.6806828751229,-30.4378058141022,-30.5287964370552,-31.1826169678501,-31.9519566928708,-32.2126724799788,-32.5844063517732,-33.2611037169672,-33.4949553082436,-33.3591665431092
"3","293",-3.21938416333114,5.05641045333982,457,457,-21.5598961667869,-17.7553812823237,-9.08141223451067,-3.02780983717746,0,-0.0139965878699044,-1.51002897980606,-3.06460705185088,-4.82820457113044,-6.20787249151628,-5.46071166643326,-5.6651204430543,-6.28492220911319,-6.54234041037348,-6.78424811099358,-6.28024488199859,-6.04815371858687,-6.54996314858471,-7.10418809102459,-7.11244503905761,-7.19579706454764,-7.17264753936557,-7.45039475423732,-7.17388775388266,-7.15372550359579,-6.96040796435071,-6.42572589157441,-6.54324263491144,-6.80093726255458,-7.06507504503978,-7.15607762978912,-7.56358461095358,-8.04658563750727,-7.99285808275966,-8.19918404262403,-8.09615784662341,-8.5292242153314,-8.3772778994249,-8.15285401275285,-8.06583542561739,-8.32363638682914,-8.43628214962752,-8.27914427374938,-7.97406325275887,-8.08153219606786,-8.2971503665585,-8.06628924950865,-7.91201781248341,-7.59455033923152,-7.20558294474982,-7.268490300421,-7.57996410010456,-7.94745250690394,-7.85916660568761,-7.82285703361612,-7.76513182292027,-8.1041350968521,-8.59170786582606,-8.41215428422856,-8.15766150303308,-8.54414963510031,-8.75446516023901,-8.97233693280539,-8.7242038633882,-8.6719067880956,-9.15029069452384,-9.39758705120651,-9.90558947536896,-9.98236752244195,-9.81682715972428,-10.2147243343661,-10.4593321247536,-10.5328219322914,-10.7883864113143,-10.5733998354533,-10.615984318083,-10.8574323287949,-10.9450665401264,-11.4140785384637,-11.3927879435692,-11.5610789494553,-11.755756822578,-12.0209829097324,-12.3424621270162,-12.3853341141773,-12.7500208882973,-12.7915219886115,-12.8994589350404,-13.3114519928555,-13.4913832769434,-13.730748435026,-13.3514304079246,-13.5920494778296,-14.1363317870273,-14.5545986536548,-14.4320531897659,-14.5487898326155,-14.8477899895703,-14.9372564092691,-14.8709414491453,-14.9353023671834,-15.4007793468805,-15.2907128357124,-15.291092172468,-15.1489873570734,-15.005665447901,-14.9298346113177,-14.9407155103793,-14.6939107525443,-14.3840088223809,-14.7825306098805,-14.7062526938953,-14.5505951717478,-14.7852512731499,-14.6250225469903,-14.4264911400088,-14.1789495167154,-13.6817650761302,-13.1758597811035,-12.4227881228493,-11.9446160723071,-12.1184512387453,-11.9388242817097,-11.7193388871978,-11.5881557588995,-11.0844321479249,-10.7624213621937,-10.5429603229356,-10.4828813722347,-10.1467581374442,-9.88358892802595,-9.47776019824111,-8.91134155746654,-8.73376668892907,-8.26748622896164,-7.84706927869231,-7.47007137260047,-7.38175743850449,-7.39781419037767,-7.4253512712705,-7.56832793841154,-7.64257327098404,-7.16426942126727,-6.59691336260174,-6.29576420390678,-6.28001974394344,-6.38219939877293,-6.53145963184481,-6.48013843616544,-6.32784500384288,-6.29606252430016,-6.3119004308988,-6.62476291540239,-7.04812901186515,-7.37580397970081,-7.43460022682819,-7.3977373119679,-6.87690869140273,-6.60991076978256,-6.28132011680849,-5.78018288305387,-5.32375534332468,-5.1634173483665,-5.15924435599118,-5.27231430816068,-5.21207686575649,-5.29782566782817,-5.34408817815957,-5.44477549297939,-5.40485649757174,-5.20499378914546,-5.00468324767382,-4.93902067993805,-5.11067832112166,-5.33982687254216,-5.68592347428669,-5.99234710253696,-6.34828482241527,-6.90411145455512,-7.27184266100233,-7.17344965053041,-7.1393250908605,-7.03907581695338,-7.02616975676691,-7.23699344399888,-7.45953139169504,-7.21990031026992,-7.47619715816966,-7.8239013791701,-7.66709503860498,-7.80806288251095,-7.78551631071264,-7.68103569203473,-7.86879123005173,-7.87558493246885,-7.85334665607162,-7.91615047670069,-8.0248680528562,-8.16426407902498,-8.28345335271064,-8.1688546557884,-8.21870064303783,-8.28542784874662,-8.25479588932858,-8.52390861109297,-8.63352295526659,-8.85653448253959,-9.09045298494524,-9.41031180857842,-9.60481972821304,-10.0365594844538,-10.4025612344958,-10.8958148558504,-11.4519300198951,-12.1674330464645,-12.6952614678424,-13.3974272045722,-13.9851493226593,-14.0660152748643,-14.0505998328827,-14.2596876956667,-14.0795240469852,-14.3400492309043,-14.2377978660154,-13.9287757412967,-14.06183791447,-13.9612614467496,-13.8452613224441,-14.0405209094545,-14.410922036742,-15.1090856479151,-16.1965330368571,-17.2878315964734,-18.0536621537814,-18.2697131109776,-18.322790525727,-18.3612917682399,-18.5853569754861,-19.0685293781727,-19.5726918248707,-19.9984519447073,-20.411453979819,-20.8599222220629,-21.2127665622409,-21.9401971984476,-22.7861190570557,-23.3653737962292,-23.8018030105975,-24.5105867712148,-25.0824869213114,-25.6715279761988,-26.1881966042371,-26.5999874686087,-27.1406038449839,-27.5098836182551,-27.654634159429
